date,team1,team2,team1score,team2score,winner,url
2010-07-17,Filthy,MOOnGLaDe,1,2,1,https%3A%2F%2Fliquipedia.net%2FTransTasman_SC2_Championship_2
2011-03-31,ClouD,HasuObs,1,3,1,https%3A%2F%2Fliquipedia.net%2FUltimate_Gaming_Championship
2011-04-25,HuK,DarkCell,2,3,1,https%3A%2F%2Fliquipedia.net%2FWorld_Cyber_Games%2F2011%2FQualifiers%2FUnited_States
2011-08-13,SeleCT,Sheth,1,2,1,https%3A%2F%2Fliquipedia.net%2F2011_North_American_Battle.net_Invitational
2011-11-18,VOddy,Gomas,1,2,1,https%3A%2F%2Fliquipedia.net%2FInsomnia44
2011-11-26,Tgun,Iaguz,1,2,1,https%3A%2F%2Fliquipedia.net%2FArena_Masters_Tournament
2012-02-26,MarineKing,DongRaeGu,1,2,1,https%3A%2F%2Fliquipedia.net%2F2012_MLG_Pro_Circuit%2FWinter%2FArena
2012-04-08,ALive,Squirtle,2,3,1,https%3A%2F%2Fliquipedia.net%2FIGN_ProLeague_Season_4
2012-05-05,Suppy,State,1,3,1,https%3A%2F%2Fliquipedia.net%2FUC_Davis_Spring_2012_Open_Tournament
2012-05-05,Potiguar,Tunico,1,2,1,https%3A%2F%2Fliquipedia.net%2F2012_StarCraft_II_World_Championship_Series%2FSouth_America%2FNationals%2FBrazil
2012-05-28,KAsyu,Salmosa,2,1,2,https%3A%2F%2Fliquipedia.net%2F2012_Global_StarCraft_II_League_Season_3%2FPreliminaries
2012-07-08,Nemesis,Siphonn,2,3,1,https%3A%2F%2Fliquipedia.net%2FPower_Overwhelming_4
2012-07-21,Bly,White-Ra,1,2,1,https%3A%2F%2Fliquipedia.net%2F2012_StarCraft_II_World_Championship_Series%2FEurope%2FNationals%2FUkraine
2012-07-28,ThorZaIN,SortOf,1,2,1,https%3A%2F%2Fliquipedia.net%2F2012_StarCraft_II_World_Championship_Series%2FEurope%2FNationals%2FSweden
2012-08-10,PiG,MOOnGLaDe,1,2,1,https%3A%2F%2Fliquipedia.net%2F2012_StarCraft_II_World_Championship_Series%2FOceania%2FNationals%2FAustralia
2012-09-15,Stephano,VortiX,1,2,1,https%3A%2F%2Fliquipedia.net%2F2012_StarCraft_II_World_Championship_Series%2FEurope%2FFinals
2012-11-10,Sage,Bly,1,2,1,https%3A%2F%2Fliquipedia.net%2FIdealo.de_HotS_Invitational
2012-11-10,Stephano,Bomber,2,3,1,https%3A%2F%2Fliquipedia.net%2FLone_Star_Clash_2
2012-12-02,Leenock,ViOLet,2,3,1,https%3A%2F%2Fliquipedia.net%2FIGN_ProLeague_Season_5%2FMain_Event
2013-01-13,XluoS,Jim,2,3,1,https%3A%2F%2Fliquipedia.net%2FECL_2012%2FGrand_Finals
2013-01-31,Socke,Delphi,1,2,1,https%3A%2F%2Fliquipedia.net%2FTUDoCup
2013-07-21,MacSed,Loner,1,2,1,https%3A%2F%2Fliquipedia.net%2FIEM_Season_VIII_-_Shanghai%2FChinese_Qualifier
2013-09-30,Snute,TargA,2,3,1,https%3A%2F%2Fliquipedia.net%2FS%C3%B8rlanet_2013
2013-10-19,Alopex,Kez,1,2,1,https%3A%2F%2Fliquipedia.net%2FAustralian_Cyber_League%2F2013_Pro_Circuit%2FSydney
2013-12-28,Prebs,Eiki,1,2,1,https%3A%2F%2Fliquipedia.net%2FBLAN_2014_Winter%2FBLAN_Qualifier_Series_2014
2014-07-26,Sacsri,HyuN,1,3,1,https%3A%2F%2Fliquipedia.net%2FMunich_Starcraft_Tournament%2F10
2015-01-10,Trace,Arium,1,2,1,https%3A%2F%2Fliquipedia.net%2FG1K_SoCal_LAN_Tournament_I_2015
2015-03-27,Moosegills,Bails,1,3,1,https%3A%2F%2Fliquipedia.net%2FMidwest_Cup%2F5
2015-06-30,CPU,HinO,2,1,2,https%3A%2F%2Fliquipedia.net%2FASUS_ROG_Summer_2015%2FQualifier_2
2015-07-26,PiG,Law,1,2,1,https%3A%2F%2Fliquipedia.net%2FAustralian_Cyber_League%2F2015_Pro_Circuit%2FMelbourne%2FOnline%2F1
2015-08-04,ByuN,TooDming,2,1,2,https%3A%2F%2Fliquipedia.net%2FLeifeng_Cup%2F96
2015-08-08,Azure,Pox,1,2,1,https%3A%2F%2Fliquipedia.net%2FAustralian_Cyber_League%2F2015_Pro_Circuit%2FMelbourne%2FOnline%2F2
2015-10-10,Bails,NoRegreT,1,3,1,https%3A%2F%2Fliquipedia.net%2FCheesadelphia_1
2016-02-26,Has,Rex,1,2,1,https%3A%2F%2Fliquipedia.net%2FGold_Series_International_2016%2FQualifiers%2FTaiwan
2016-08-27,LegendKiller,ErL,2,3,1,https%3A%2F%2Fliquipedia.net%2FOVK_Summer_Tournament_2016
2017-02-08,Kelazhur,MaSa,1,2,1,https%3A%2F%2Fliquipedia.net%2FGauntlet_Season_3_Event%2F4
2017-06-26,Chick,Sakya,1,2,1,https%3A%2F%2Fliquipedia.net%2FOSC_CN_Weekly_8
2017-08-15,Nice,Ein,1,2,1,https%3A%2F%2Fliquipedia.net%2FOSC_CN_Weekly_15
2017-10-17,Cyan,ButAlways,1,2,1,https%3A%2F%2Fliquipedia.net%2FOSC_CN_Weekly_20
2018-04-29,Cham,MeomaikA,1,2,1,https%3A%2F%2Fliquipedia.net%2FSC2_ONLINE_Community_Open_93
2018-05-27,Gerald,Krystianer,2,1,2,https%3A%2F%2Fliquipedia.net%2FSunday_Heroes_Open_31
2018-07-07,Luolis,Lumpas,1,3,1,https%3A%2F%2Fliquipedia.net%2FPassioncraft_Open_S8
2019-07-30,Nina,Bioice,1,2,1,https%3A%2F%2Fliquipedia.net%2FMomentum_Cup%2FS3NA_R1
2019-10-27,Drikett,Winter (American player),2,3,1,https%3A%2F%2Fliquipedia.net%2FDAM_Showmen%27s_Show_Match%2F1
2019-12-22,GunGFuBanDa,MaNa,3,1,2,https%3A%2F%2Fliquipedia.net%2FSC2_Royal%2F2
2020-02-08,Future (Terran player),Starkiller,2,1,2,https%3A%2F%2Fliquipedia.net%2FNA_Apprentice_Cup%2F2020%2F3
2020-03-14,Varys,MariK,2,3,1,https%3A%2F%2Fliquipedia.net%2FPassionCraft_Open_S12
2020-12-16,ChesteR,ShiFu,2,1,2,https%3A%2F%2Fliquipedia.net%2FMoscow_Cybersport_Series%2FSeason_2%2FWeekly_Finals
2021-04-11,Starkiller,Garitos,2,4,1,https%3A%2F%2Fliquipedia.net%2FAlpha_Pro_Series_Showmatches
2021-05-30,Neuling,CobbleStone,2,1,2,https%3A%2F%2Fliquipedia.net%2FLegion_Cup%2F2021%2FSpring%2FEU%2FQualifiers
2021-07-18,Goblin,BattleB,1,2,1,https%3A%2F%2Fliquipedia.net%2FJumyCup%2F3
2021-10-05,Jim,LoveCD,1,2,1,https%3A%2F%2Fliquipedia.net%2FNEO_Star_League_2012_Season_2%2FGroup_Stage
