date,team1,team2,team1players,team2players,winner,url
2011-11-21 19:00:00,LowLandLions,Anexis eSports,"['ono', 'cHoObiE', 'froz', 'mumma', 'cozje']","['boco', 'fUTUREEE', 'kZstaR', 'stormy', 'z1koX']",2,https://liquipedia.net/callofduty/Corsair_Vengeance_Cup
2011-11-21 19:00:00,LowLandLions,Anexis eSports,"['ono', 'cHoObiE', 'froz', 'mumma', 'cozje']","['boco', 'fUTUREEE', 'kZstaR', 'stormy', 'z1koX']",2,https://liquipedia.net/callofduty/Corsair_Vengeance_Cup
2012-03-03 00:00:00,DN Gaming,Comando Elite,"['brok3nz', 'dreaMeer', 'panzR', 'venM']","['daaRK', 'joka', 'juN1', 'nenen']",1,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,DN Gaming,Comando Elite,"['brok3nz', 'dreaMeer', 'panzR', 'venM']","['daaRK', 'joka', 'juN1', 'nenen']",1,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,DN Gaming,Comando Elite,"['brok3nz', 'dreaMeer', 'panzR', 'venM']","['daaRK', 'joka', 'juN1', 'nenen']",2,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,DN Gaming,Comando Elite,"['brok3nz', 'dreaMeer', 'panzR', 'venM']","['daaRK', 'joka', 'juN1', 'nenen']",1,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Divineo F4H,X6tence,"['bogepa', 'phurion', 'psycOz', 'yazzY']","['adcTo', 'epiKo', 'borja', 'tMac']",1,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Divineo F4H,X6tence,"['bogepa', 'phurion', 'psycOz', 'yazzY']","['adcTo', 'epiKo', 'borja', 'tMac']",2,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Divineo F4H,X6tence,"['bogepa', 'phurion', 'psycOz', 'yazzY']","['adcTo', 'epiKo', 'borja', 'tMac']",2,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Divineo F4H,X6tence,"['bogepa', 'phurion', 'psycOz', 'yazzY']","['adcTo', 'epiKo', 'borja', 'tMac']",1,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Divineo F4H,X6tence,"['bogepa', 'phurion', 'psycOz', 'yazzY']","['adcTo', 'epiKo', 'borja', 'tMac']",1,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Pain Gaming,34united Club,"['alonso', 'goobZ', 'methodZ', 'sTaXx']","['eupHo', 'feroX', 'maiKy', 'zoLa']",2,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Pain Gaming,34united Club,"['alonso', 'goobZ', 'methodZ', 'sTaXx']","['eupHo', 'feroX', 'maiKy', 'zoLa']",1,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Pain Gaming,34united Club,"['alonso', 'goobZ', 'methodZ', 'sTaXx']","['eupHo', 'feroX', 'maiKy', 'zoLa']",2,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Pain Gaming,34united Club,"['alonso', 'goobZ', 'methodZ', 'sTaXx']","['eupHo', 'feroX', 'maiKy', 'zoLa']",1,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Pain Gaming,34united Club,"['alonso', 'goobZ', 'methodZ', 'sTaXx']","['eupHo', 'feroX', 'maiKy', 'zoLa']",1,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Giants Gaming,Divineo F4H,"['lgend', 'peLuka', 'sTyLeXx', 'tojoR']","['bogepa', 'phurion', 'psycOz', 'yazzY']",1,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Giants Gaming,Divineo F4H,"['lgend', 'peLuka', 'sTyLeXx', 'tojoR']","['bogepa', 'phurion', 'psycOz', 'yazzY']",1,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,DN Gaming,Comando Elite,"['brok3nz', 'dreaMeer', 'panzR', 'venM']","['daaRK', 'joka', 'juN1', 'nenen']",2,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
2012-03-03 00:00:00,Giants Gaming,Divineo F4H,"['lgend', 'peLuka', 'sTyLeXx', 'tojoR']","['bogepa', 'phurion', 'psycOz', 'yazzY']",1,https://liquipedia.net/callofduty/LVP/Final_Cup/Season_2
