date,team1,team2,team1players,team2players,team1score,team2score,winner,url
2011-04-14 00:00:00,Fnatic,Team Infused,"['GunShy', 'Tobi', 'DopeGoat', 'Jolly']","['NayNay', 'LukeJS', 'Sowerz', 'Monksy']",1,2,2,https%3A%2F%2Fliquipedia.net%2FEuropean_Console_League%2FPro_Series
2011-04-14 00:00:00,Power Gaming,Fnatic,"['MAxxie', 'XLNC', 'Swanny', 'Pacino']","['GunShy', 'Tobi', 'DopeGoat', 'Jolly']",2,1,1,https%3A%2F%2Fliquipedia.net%2FEuropean_Console_League%2FPro_Series
2011-04-14 00:00:00,Royalty Gaming,Fnatic,"['Tommey', 'Bissell', 'Blackk', 'Riddlez']","['GunShy', 'Tobi', 'DopeGoat', 'Jolly']",0,2,2,https%3A%2F%2Fliquipedia.net%2FEuropean_Console_League%2FPro_Series
2011-04-14 00:00:00,Team Infused,Power Gaming,"['NayNay', 'LukeJS', 'Sowerz', 'Monksy']","['MAxxie', 'XLNC', 'Swanny', 'Pacino']",0,2,2,https%3A%2F%2Fliquipedia.net%2FEuropean_Console_League%2FPro_Series
2011-04-14 00:00:00,Power Gaming,Royalty Gaming,"['MAxxie', 'XLNC', 'Swanny', 'Pacino']","['Tommey', 'Bissell', 'Blackk', 'Riddlez']",2,1,1,https%3A%2F%2Fliquipedia.net%2FEuropean_Console_League%2FPro_Series
2011-04-14 00:00:00,Royalty Gaming,Team Infused,"['Tommey', 'Bissell', 'Blackk', 'Riddlez']","['NayNay', 'LukeJS', 'Sowerz', 'Monksy']",2,0,1,https%3A%2F%2Fliquipedia.net%2FEuropean_Console_League%2FPro_Series
2011-11-21 19:00:00,LowLandLions,Anexis eSports,"['Ono', 'CHoObiE', 'Froz', 'Mumma', 'Cozje']","['Boco', 'FUTUREEE', 'KZstaR', 'Stormy', 'Z1koX']",0,2,2,https%3A%2F%2Fliquipedia.net%2FCorsair_Vengeance_Cup
2012-03-03 00:00:00,Giants Gaming,Karont3 Club,"['Lgend', 'PeLuka', 'STyLeXx', 'TojoR']","['AIQ', 'ALeex', 'SdOw']",3,0,1,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_2
2012-03-03 00:00:00,Pain Gaming,Giants Gaming,"['Alonso', 'GoobZ', 'MethodZ', 'STaXx']","['Lgend', 'PeLuka', 'STyLeXx', 'TojoR']",1,3,2,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_2
2012-03-03 00:00:00,Pain Gaming,Comando Elite,"['Alonso', 'GoobZ', 'MethodZ', 'STaXx']","['DaaRK', 'Joka', 'JuN1', 'Nenen']",3,2,1,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_2
2012-03-03 00:00:00,Giants Gaming,Divineo F4H,"['Lgend', 'PeLuka', 'STyLeXx', 'TojoR']","['Bogepa', 'Phurion', 'PsycOz', 'YazzY']",3,1,1,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_2
2012-03-03 00:00:00,DN Gaming,Comando Elite,"['Brok3nz', 'DreaMeer', 'PanzR', 'VenM']","['DaaRK', 'Joka', 'JuN1', 'Nenen']",3,2,1,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_2
2012-03-03 00:00:00,Divineo F4H,X6tence,"['Bogepa', 'Phurion', 'PsycOz', 'YazzY']","['AdcTo', 'EpiKo', 'Borja', 'TMac']",3,2,1,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_2
2012-03-03 00:00:00,Pain Gaming,34united Club,"['Alonso', 'GoobZ', 'MethodZ', 'STaXx']","['EupHo', 'FeroX', 'MaiKy', 'ZoLa']",3,2,1,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_2
2012-10-27 00:00:00,Comando Elite OMG,Halo Gaming,"['Boha', 'FeRoX', 'SaaMueL', 'SMiLe']","['Nalti', 'PuMa', 'Pupen', 'SaLviTanK']",2,1,1,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_3
2012-10-27 00:00:00,Comando Elite 360,Comando Elite OMG,"['Absmo', 'Holcar', 'JuN1', 'Ochoa']","['Boha', 'FeRoX', 'SaaMueL', 'SMiLe']",1,2,2,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_3
2012-10-27 00:00:00,Over Gaming,Cerberus e-Sports Club,"['EupHo', 'STyLeXx', 'YazzY', 'MethodZ']","['FlexZ', 'PanzeR', 'Sammy', 'WnterZ']",2,1,1,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_3
2012-10-27 00:00:00,SAW Gaming,Cerberus e-Sports Club,"['Cloud', 'Pdro', 'RMX', 'Stealz']","['FlexZ', 'PanzeR', 'Sammy', 'WnterZ']",2,1,1,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_3
2012-10-27 00:00:00,Halo Gaming,Comando Elite 360,"['Nalti', 'PuMa', 'Pupen', 'SaLviTanK']","['Absmo', 'Holcar', 'JuN1', 'Ochoa']",2,0,1,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_3
2012-10-27 00:00:00,Comando Elite OMG,AeQuuS Club,"['Boha', 'FeRoX', 'SaaMueL', 'SMiLe']","['Suareez', 'Re4per', 'BoRt4T', 'JAVIXI']",2,1,1,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_3
2012-10-27 00:00:00,Cerberus e-Sports Club,La Elite King,"['FlexZ', 'PanzeR', 'Sammy', 'WnterZ']","['Kitus', 'MistraX', 'Nenito']",1,2,2,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_3
2012-10-27 00:00:00,Over Gaming,La Elite King,"['EupHo', 'STyLeXx', 'YazzY', 'MethodZ']","['Kitus', 'MistraX', 'Nenito']",2,0,1,https%3A%2F%2Fliquipedia.net%2FLVP%2FFinal_Cup%2FSeason_3
