pagename,birthdate
1nsanity,1995-01-23
aCHES,1994-07-18
aN4WIN,1970-01-01
aTLAS,1997-08-22
abhiz,2004-01-01
abyss,2002-06-26
accuracy,1996-08-02
adamelo,1970-01-01
afro,2001-07-19
alexx,1999-05-06
alphaRie,2000-11-04
angel,1970-01-01
apathy,1994-04-15
aquA,1996-09-12
araujo,1970-01-01
arcitys,1998-07-09
argon,1998-06-20
aroma,2000-07-16
asim,2000-02-10
assault,1996-07-10
attach,1997-01-04
atura,1997-01-08
awaken,1970-01-01
b1godera,1970-01-01
bBConor,1999-12-24
bENZ1NE,1988-03-10
bLOOD,2000-09-23
bONES,2000-10-02
bOSS1E,1970-01-01
bOUND,2002-12-24
baker,1997-11-19
balance,1970-01-01
bance,1997-10-14
banned,2002-07-16
beefMami,1970-01-01
beehzy,1997-08-19
believe,1996-09-16
benji,1998-08-30
bevils,1996-10-18
bidz,1999-09-29
birddy,2002-12-24
blackJa,1970-01-01
blazt,1999-08-12
boLu,2001-06-24
bobbyPlays,1970-01-01
braaain,1994-09-06
brack,1999-05-26
breszy,1999-09-27
bricey,1970-01-01
brolic,1999-06-04
broszxs,1998-09-14
buZZO,1994-11-25
burnZ,2000-02-10
c1,1970-01-01
cHEEK,1970-01-01
cHETO,1999-06-13
cLMKK,1970-01-01
cOUTSIDE,2001-04-11
cRUSH,2001-07-26
callum,2000-06-12
cammy,1999-10-10
canYou,1970-01-01
cellium,2000-12-24
censor,1994-08-21
chailds,1970-01-01
chain,1970-01-01
chance,1970-01-01
cheen,1997-07-08
chieZze,2002-04-07
classic,1994-02-23
clayster,1992-05-07
cleanX,2000-08-11
clout,1970-01-01
clove,1970-01-01
cobra,2000-08-22
cokeMie,1970-01-01
concepT,2003-02-05
cookie,1996-10-30
creed,1970-01-01
crimsix,1993-05-29
crimzah,2001-12-28
cronusKun,2001-05-30
crowder,1994-08-23
cruze,1999-10-28
dANTE,1996-09-11
dEATH,2000-09-01
dESPA,2001-12-04
damage,1970-01-01
daoGe,2004-03-15
dashy,1999-04-19
dato,1970-01-01
davpadie,2000-08-31
decemate,1997-11-24
dedo,1994-11-29
defrag,1999-04-07
demonSloth,1994-12-19
denz,1995-01-20
denza,1998-07-02
derp,2000-08-06
destiny,1970-01-01
detain,2000-06-10
diabolic,1995-05-07
diamondcon,2000-04-16
don-Lai,1970-01-01
dqvee,1998-01-06
draMa,1997-02-14
drari,1970-01-01
drazah,2001-05-09
druxy,1999-06-11
dryad,1970-01-01
duDu,1970-01-01
duanChen,2003-02-16
dylan,2000-03-16
eXO,2001-06-06
eazy,1997-11-20
edz,1999-07-16
ehann,1970-01-01
eiji,1970-01-01
eleiviate,1970-01-01
elf,2000-08-17
elite,1970-01-01
enable,1994-01-20
envdiaN,1997-10-08
envoy,2000-01-19
envy_(American_mobile_player),1970-01-01
exZ,1970-01-01
exceed,2001-06-11
exiB,1999-03-22
f10W3R,1970-01-01
f1ex,1970-01-01
fA5TBALLA,1995-08-17
fAKEZ,2001-07-29
fBI_Tugboat,1970-01-01
fEARS,1995-06-27
faccento,1970-01-01
faints,1970-01-01
feLo,1997-05-15
felon,2000-04-28
fero,1999-03-27
fighta,1997-01-05
fire,2002-03-20
floSkiLL,1970-01-01
formaL,1994-12-19
forsaken,2004-09-16
frosty,1997-10-12
g-ShotZ,1970-01-01
gRVTY,1998-06-05
gds,1970-01-01
gee,1998-11-01
gefKid,1970-01-01
general,1998-10-01
ghoul,1970-01-01
gismo,2001-12-04
gloreos,1999-05-21
glory,1999-05-21
glyde,1970-01-01
godLike_(American_Player),1970-01-01
godRx,1970-01-01
gohan,1970-01-01
goldenboy,1970-01-01
goonjar,1995-11-08
grim,2002-09-27
grizz,1970-01-01
guITar,1970-01-01
gunless,1997-11-24
gunnPlay,1970-01-01
happy,1997-03-05
harry,2000-08-20
hatton,1970-01-01
havok,1998-02-19
hawqeh,1997-08-20
hiTzy,1999-06-18
hicksy,1999-10-25
holic,1970-01-01
hollow,1998-05-23
horus,2000-08-17
huke,1999-10-21
hyDra,2002-02-11
iHOLDSHIFT,1970-01-01
ignite,2000-08-17
image,1970-01-01
inSaLyn,1970-01-01
infamous,2000-01-25
infernal,1970-01-01
inferno_(British_mobile_player),2000-12-05
insight,1999-10-31
irvinG,1970-01-01
itzMago,1970-01-01
iviano,2000-05-24
izzul,1998-04-22
jKap,1994-04-15
jOKOs,2002-09-26
jaBen,1970-01-01
jake_(American_Player),2002-03-01
jayzee,2000-01-11
jaz,1970-01-01
jazhn,1970-01-01
jerdah,2001-01-10
jess_Brohard,1970-01-01
jesusSaves,1970-01-01
jetLi,1970-01-01
jetsky,1970-01-01
jim,1970-01-01
joKeR,1970-01-01
joee,1995-03-01
john,1996-03-28
jongBok,1970-01-01
josephEdgar17,1997-10-01
joshh,1996-01-07
jump,1970-01-01
jumpeR,1970-01-01
jurNii,2000-02-07
jurd,1995-01-11
juust,1970-01-01
jzinBoo,1970-01-01
kEENZ,1970-01-01
kNALLER,1970-01-01
kade,1970-01-01
karma,1993-07-17
kayyali,1990-03-26
kazzra,2000-08-25
kenDy,2000-11-07
kenny,1999-09-02
kensh1,1970-01-01
keyotk,1970-01-01
keza,2000-05-10
khenji,1999-04-30
kiLLa,1993-04-26
kiSMET,1999-11-11
kimwax,2001-11-16
kivi,1970-01-01
knight,1970-01-01
kosh,2001-12-02
kraeon,1970-01-01
kualie,1970-01-01
kxrma,1970-01-01
kxvNn,2003-05-13
kyaaah,1997-09-23
kyleTheBrazilian,1970-01-01
kyoChi,1970-01-01
lINQAN,1970-01-01
lacefield,1996-12-17
landO,1996-05-02
laneX,1970-01-01
learn,2000-06-20
leon,1970-01-01
leozZera,1970-01-01
leozin,1970-01-01
let1na,1970-01-01
lewTee,1970-01-01
lezra,2002-04-14
liNBZ,1970-01-01
lighters,1970-01-01
linney,2000-01-10
lispZeus,1970-01-01
littleB,2000-04-09
llamaGod,1997-06-17
loony,1993-05-31
louqa,1970-01-01
lucky,1999-09-04
luicidical,1970-01-01
lymax,2002-05-02
mBoZe,1995-10-25
mITOX3,1987-08-03
mRuiz,1970-01-01
maNiaC,1991-08-15
mack,2001-11-21
madCat,1995-12-15
major,1970-01-01
major_Beast,1970-01-01
majorManiak,1998-03-21
manOfChicken,2000-02-08
maple,1999-03-29
marki,2003-06-24
marshy,2002-05-10
marvel,1997-10-27
maux,1970-01-01
maven,1985-02-15
mayhem,1997-11-28
mazarini,1989-02-13
mccornmeal,1970-01-01
mengRui,2003-01-29
mentaL,1998-07-20
methodZ,1994-09-20
methodz,1997-08-15
mettalZ,2000-09-19
miRx,1993-11-04
mick,1970-01-01
middoh,1970-01-01
miguelismy,2001-04-25
mihawk,1970-01-01
miles_Ross,1970-01-01
miney,2001-07-01
minho,2001-02-12
mishh,1995-11-24
mochila,1994-03-29
monK,2001-11-22
moonscope,2001-01-18
moose,1995-04-23
mosh,1970-01-01
mystic,2001-05-11
n1ELSK,1970-01-01
nAMELESS,1994-04-03
nUT,1970-01-01
naarkz,2000-10-13
nadeshot,1992-08-03
nagafen,1994-06-13
nastie,1999-07-03
natshay,1999-09-27
natty,1991-10-11
neil,2001-06-05
neptune,2002-04-09
nero,2002-05-30
nero_(American_Mobile_Player),1970-01-01
neslo,1994-07-24
neutrino,1999-07-05
nevo,1970-01-01
newbz,1970-01-01
nfinity,1970-01-01
nimble,1970-01-01
noel,1984-10-11
noel_(Brazilian_Mobile_Player),1970-01-01
nolson,1997-05-04
nomadicloner,1970-01-01
nubzy,1999-04-21
oZWALD,1987-08-19
ocaDZ,1970-01-01
octane,1997-06-23
odyx,1970-01-01
oiL,1970-01-01
fenrir.SPAZ/Onerakos,1970-01-01
oog,1970-01-01
osprey,2001-09-05
ouling,2001-12-08
owakening,2000-12-18
pABZERA,2001-05-05
palitão,1970-01-01
pandur,1998-01-09
parasite,1994-07-21
parzelion,1998-10-24
paulEhx,2001-01-21
peatie,1995-04-08
pengy,1970-01-01
pentagrxm,2000-03-08
pepe,1970-01-01
perisH,1999-04-09
phantom,1970-01-01
