pagename,birthdate
-Ace,1995-04-07
.PhP,1970-01-01
0bi,1989-02-04
0i,1996-06-18
129,1970-01-01
18yM,1994-07-01
1962,1995-11-19
1eeR,2001-12-31
1mpala,1999-02-27
1obockZ',1990-02-09
1uke,1992-11-15
333ed2k,1999-12-14
3ARK00Z,1998-04-30
3DEEEE,1970-01-01
3k2,1970-01-01
400kg,1980-04-08
4sh0t,1970-01-01
5TRYK3R,1990-08-17
648,1996-06-24
720,1992-07-20
7oX1C,2002-02-25
813,1990-08-13
9,1994-12-18
aAustiN,1998-06-17
aBR,1970-01-01
aDDICT,2000-09-29
aDK,2001-03-08
aE,1998-10-19
aERO,1988-11-12
aIm,1986-07-06
aJ,1970-01-01
aJTT,2001-06-19
aKIMOV,1992-03-21
aLEX_(British_player),1995-09-28
aLEX_(Spanish_player),1995-12-15
aLLE,1997-06-29
aM,1996-12-29
aNDROID,1994-05-26
aNGE1,1989-09-10
aNKOR,1998-01-30
aNa,1970-01-01
aPE,1991-10-09
aPEHEHE,1970-01-01
aRES_(Australian_player),1970-01-01
aRKIMONDAY,1970-01-01
aWWE,1970-01-01
aZK,1991-03-25
aZR,1992-10-02
aaroN,1990-04-30
aaron,1999-02-24
abiii,1992-11-29
ace,1993-08-13
acilioN,1996-09-25
adam_Savage,1970-01-01
adam9130,1997-08-17
adejis,1970-01-01
adlane,1993-08-22
adreN_(Kazakh_player),1990-02-04
adrig6,1989-12-14
aerial,1993-06-11
aguila,1970-01-01
aika,1989-07-06
airRaid,1970-01-01
aiyvaN,1996-07-08
alchemist,1970-01-01
alekS,2001-09-25
aleksib,1997-03-30
allan,1996-10-31
alluM3tt3,1994-02-18
amaNEk,1993-08-24
amaterasu,1970-01-01
anJ,1994-11-17
anders_Blume,1985-12-07
andi,1986-09-03
andru,1994-04-01
andrue,1993-02-06
andyy,1997-10-08
anhuin,1998-03-19
anishared,1999-10-29
annihilation,2000-01-25
anomaly,1970-01-01
ant1ka,1995-03-24
antO_oNNN,1995-07-18
antidote,1996-06-08
anuBiS,2000-02-02
apocalypse,1987-03-30
apoka,1985-12-09
