pagename,birthdate
.Ark,1997-07-07
04,1970-01-01
13abyKnight,1992-06-15
1437,1970-01-01
1ceN1ce,1998-01-12
23savage,2002-03-27
290,1970-01-01
2GD,1982-12-29
2hoi,1970-01-01
33,1997-04-17
343,1994-08-27
444,1995-02-28
458,1996-12-16
4ce,1992-05-28
4DR,1993-07-13
4liver,1992-06-05
4nalog,1970-01-01
5400,1993-11-13
5up,1970-01-01
bzzIsPerfect,1992-11-09
71,1981-01-29
78,1989-11-01
7e,2001-01-18
820,1990-04-13
86,1970-01-01
mKSos,1994-11-08
897,1996-11-11
9pasha,1992-06-30
dogf1ghts,1995-12-05
aA_(Li_Qiming),1993-01-22
aDTR,1970-01-01
aLOHADANCE,1997-09-15
aLWAYSWANNAFLY,1991-03-06
aNDROIDp,1992-05-13
aSD,1999-06-23
aTF,2005-04-03
ab1ng,1970-01-01
abat,1999-02-18
abed,2000-08-02
abeng,1995-09-24
accel,1995-10-20
accell,1997-10-19
ace,1994-01-19
ace12,2001-02-12
adekvat,1991-01-15
admiralBulldog,1990-12-19
admiration,1970-01-01
adzantick,1998-11-18
afoninje,1996-09-27
afrOmoush,1996-12-06
afterLife,1997-03-13
agressif,1991-11-11
ahJit,1998-11-25
ahilles,1994-06-17
ainkrad,1999-09-24
air,1970-01-01
airu,1998-10-18
akke,1988-05-26
alaCrity_(player),1997-12-10
alex,1991-09-07
aliyah,1970-01-01
alone_(Peruvian_player),2004-09-25
ame,1997-04-07
ams,1970-01-01
anahRoniX,1990-05-26
andrej_Porjazovski,1998-05-29
pakazs,1970-01-01
anneeDroid,1995-04-29
aoko,1970-01-01
aonir,1970-01-01
apemother,1990-12-14
aq,1999-11-20
aramis,2000-06-28
ares_(Lachlan_Williams),2001-01-08
aretes,1970-01-01
arise,1993-04-08
ariunbolor,1970-01-01
arjarath,1990-08-15
armel,2000-01-20
arms,1970-01-01
arrOw,1999-04-26
arsZeeqq,1993-05-08
arteezy,1996-07-01
artes,1995-09-07
artstyle,1989-04-20
arzent,1970-01-01
ascendancy,1970-01-01
askold,2001-03-04
astral,1998-06-15
attacker,1994-07-16
atun,1970-01-01
atze,1970-01-01
aui_2000,1992-10-02
autumnWindz,1970-01-01
shadow_(player),1997-03-21
aville,1992-11-06
avoPlus,1970-01-01
awoke,1987-11-30
ax.Mo,1970-01-01
axypa,1970-01-01
ayesee,1984-12-05
ayo,1994-07-01
azur4,1997-02-02
b,1970-01-01
b7_NexT_LeveL,1970-01-01
bBC,1980-07-07
bDz,1996-06-22
bLACKARXANGEL,1996-08-23
bOOM,2000-05-02
bSJ,1992-06-02
bYB,1993-06-10
bafiK,1992-12-27
baga,1994-03-31
balsam,1991-10-27
banana,1970-01-01
barabaNN,1970-01-01
barash,1970-01-01
barry,1970-01-01
bashruk,1996-12-12
basskip,1993-05-09
bdiz,1970-01-01
beesa,1993-12-24
belony,2000-11-29
ben,1970-01-01
benhur,1997-03-05
benjaz,1993-09-30
benny,1997-05-22
bensoy,1997-10-04
berna,1999-01-12
beyond,1970-01-01
bfl,1970-01-01
bhm,1970-01-01
bignum,1995-04-20
zExBinGo,1970-01-01
biryu,1970-01-01
biver,1996-11-26
bkop,1992-11-30
bl00DAnGeL,1992-10-21
black^,1993-05-27
blaze,1990-03-22
blazemon,1996-02-13
bliNcc,1998-01-31
blitz,1990-05-21
blizzarD,1995-10-15
blizzy,1995-01-05
blood_(player),1970-01-01
bloody_Nine,1992-11-11
blue,1993-02-12
bob,2000-09-13
bobruha,1998-11-13
bok,1993-09-17
bombad1l,1970-01-01
bombi,1998-09-03
boomy,1993-01-06
boraNija,1996-12-10
borax,1997-01-06
boxi,1998-04-10
brax,1970-01-01
brayaNt,1995-06-05
breakyCPK,1970-01-01
bruno,1970-01-01
bryle,1970-01-01
buLba,1991-07-10
bungsellRotee,1970-01-01
burNIng,1988-04-16
butterflyEffect,1997-01-13
buugi,1994-01-05
cTOMAHEH1,1995-01-01
cURRY,1997-03-13
