pagename,birthdate
007x,1995-09-17
113,1970-01-01
1250,1970-01-01
150IQ,1970-01-01
1xn,1970-01-01
2188,1997-03-16
369,2001-07-12
5Kid,1999-11-28
5fire,1970-01-01
6ax,1970-01-01
705,1970-01-01
8917,2000-12-02
957,1993-09-21
a_M_U_S_E_4,1997-07-27
aCD,2000-06-24
aDD,1998-10-17
aHaHaCiK,1999-04-01
aKi,2000-04-09
aMOUR_FAYA,1997-05-10
aPA,1970-01-01
aTRemains,1990-06-01
abbedagge,1999-09-10
ablazeolive,1998-11-16
absolut,1970-01-01
absolute,1970-01-01
acce,1995-10-06
accez,2000-03-16
accez,1970-01-01
ace_(Japanese_player),1997-11-25
acerola,1970-01-01
achuu,1970-01-01
ackerman_(Argentinian_player),1970-01-01
acorn,1990-07-13
act,1970-01-01
actScene,1991-12-12
adam,2001-12-30
adept,1998-04-28
adiss,1970-01-01
adrian,1997-02-18
adryh,1970-01-01
advienne,1970-01-01
aegis,1999-09-09
aermudilos,1970-01-01
aesenar,1970-01-01
afflict,1970-01-01
afm,1970-01-01
agentas,1970-01-01
agresivoo,1999-07-09
agurin,1995-11-02
aiming,2000-07-20
air_(Shenghao_He),1970-01-01
airwaks,1994-09-01
aithusa,1970-01-01
aix,1970-01-01
akaadian,1996-12-26
akabane,1970-01-01
akabuff,1970-01-01
akasi,1997-02-02
akeno,1998-09-09
aki_(Italian_player),1999-04-22
aku,1970-01-01
akunma,1997-09-07
aladoric,1970-01-01
albetrayber,2000-10-08
albis,1993-12-19
alchemy,1995-12-30
ale,2001-04-04
alex,2000-01-22
alex_Ich,1992-01-31
alexx,1970-01-01
aliez,1970-01-01
alive,1998-02-27
allorim,1995-09-05
alois,2001-02-18
aloned,1999-11-06
alphaCloud,1970-01-01
alphari,1999-10-20
alps,1997-05-13
altec,1997-05-20
alternativeX,1996-02-14
alu,1970-01-01
aluka,1995-02-12
amazing_(German_player),1994-04-02
amazingJ,1997-11-08
ambition,1992-10-27
an,1994-10-20
anDa,1995-08-03
anOnPsyCkO,1994-08-29
andariel,1970-01-01
anderu,1970-01-01
anduril,1970-01-01
andyBendy,1970-01-01
anechek,1970-01-01
angel_(Chinese_player),2000-09-16
angush,1993-08-08
ankote,1970-01-01
ansva,1970-01-01
anthrax,1997-07-16
anyyy,1970-01-01
aodi,2000-05-28
aoi_Haru,1970-01-01
aomine_(Vietnamese_player),1970-01-01
aoshi,1993-07-09
aPEX,1996-01-19
apii,1970-01-01
apollo,1994-08-15
appen,1999-08-24
aquasonic,2000-05-27
araneae,1989-05-19
arashi,1970-01-01
archeny,1970-01-01
archer,1970-01-01
archie_(Vietnamese_player),1992-07-26
archie2B,1993-05-31
arcsecond,1994-01-28
ares,1995-12-11
arfoad,1991-07-19
argonavt,2001-01-31
ari,1970-01-01
aria,2000-10-14
armao,1970-01-01
armut,1998-12-13
arnax,1998-03-18
array,1970-01-01
arrietty,2002-04-13
arrow,1994-07-20
artemis,2001-02-24
arthur_(Park_Mi-reu),2000-05-24
artifact,2000-06-23
artum,1970-01-01
arumik,1996-09-27
arvindir,1970-01-01
ashley_Kang,1989-11-28
aslan,1970-01-01
aspect,1970-01-01
assqssin,1970-01-01
astarore,1994-01-14
athena,1995-10-19
athyz,1997-03-05
atlen,1999-09-11
atlus,1970-01-01
atom_(Danish_player),1995-02-14
attila,1996-02-26
aun,1996-10-09
auspex,1992-11-13
avenger,2001-05-14
avoidless,1994-05-13
awaker,1992-01-14
axecitement,1970-01-01
azael,1970-01-01
azhi,1970-01-01
aziado,1970-01-01
azitor,1970-01-01
azra,1995-05-16
azure_(Filipino_player),1970-01-01
azus,1970-01-01
b1ven,2001-01-12
bAO,2001-09-20
bAeKHo,2001-06-19
bB_Muffin,1970-01-01
bOSS_(Russian_player),1998-07-03
bULBAZABP,1995-11-24
baba,1994-12-10
babip,1998-09-04
baca,1970-01-01
backlund,1999-11-22
baeMe,1993-10-27
baiano,1994-04-09
bako,1970-01-01
balkane,1970-01-01
balkhan,1970-01-01
balls,1994-06-22
baloo,1970-01-01
baltica,1998-07-15
bananitoo,1998-02-11
bando,1999-01-05
bang,1996-05-18
bankai_(Renan_Pirone),1970-01-01
baolan,1999-07-16
barcode,1970-01-01
bardo,1999-12-04
barneyD,1994-09-30
barrage,1999-02-19
bartiono,1996-08-13
baula,1997-03-28
baut,1970-01-01
bay,1970-01-01
bdd,1999-03-01
beBe,1991-06-27
beBopBulli,1970-01-01
beNw,1993-05-07
bean,1970-01-01
bean_J,2003-01-27
beat,1970-01-01
beats,1970-01-01
becca,2001-03-28
beenie,1970-01-01
beichuan,1970-01-01
belgianbeast,1994-07-29
bella,1997-11-04
ben,1995-04-24
ben4,1998-01-01
benaset,1998-06-03
bendix,1970-01-01
bengi,1993-11-21
benji,1997-04-20
benny_(Taiwanese_player),1998-06-14
berkan,1970-01-01
berserker_(Korean_player),1970-01-01
beryL,1999-07-06
betongJocke,1970-01-01
betsy,1997-07-28
betty,2000-01-16
betão,1970-01-01
beyond_(Vietnamese_player),1997-09-15
beyond,1997-08-18
bible,1999-11-24
bie,1999-12-09
big,1970-01-01
bigfafa,1988-12-10
bigfatlp,1990-06-06
bigKoro,1999-07-05
bin,2002-09-28
bini,1970-01-01
bioPanther,1970-01-01
biofrost,1996-09-17
bisbo,2002-02-27
biubiu,2000-06-01
bjergsen,1996-02-21
blaber,2000-01-04
black,1970-01-01
blacky,1970-01-01
blaise,1996-12-20
blake,1970-01-01
blanc,1995-06-03
blank,1998-04-30
blasting,1996-12-05
blaze,1970-01-01
blazes,1999-01-15
blessing,1970-01-01
blinky,1995-04-10
blizer300,1997-04-17
blizz,1970-01-01
bloodWater,1970-01-01
bloody,1998-05-15
blossom,1999-10-12
blue,1970-01-01
blue45ty,1970-01-01
bluerzor,1999-05-04
blumigan,1993-04-06
bo,2002-04-22
bobo_(Austrian_player),1970-01-01
bocaJR,1997-10-16
boffeN,1992-12-16
bolulu,1970-01-01
bonnie,1970-01-01
bono,1995-02-27
boomin,1970-01-01
boukada,1970-01-01
bounty,2003-02-04
boz,1970-01-01
bradley,1970-01-01
brance,1970-01-01
brandini,1997-08-13
bravado,2001-10-26
breadMan,2002-01-18
breaker,1997-11-22
breathe,2001-02-19
breeze,1997-09-20
brizz22,1994-12-05
broCColi,1999-11-04
broeki,1991-02-11
brokenBlade,2000-01-19
brokenshard,1993-09-08
brolia,1997-05-29
brom,1970-01-01
broooock,1998-06-10
broxah,1997-08-12
bruce,1998-06-16
bruno,1970-01-01
brush_(Oh_Jun-young),1970-01-01
buLLDoG,2005-04-15
buggax,1998-06-27
buggy,1970-01-01
bugi,1970-01-01
bulii,1992-06-12
bull,1970-01-01
bullet,1970-01-01
bullyMaguire,1970-01-01
bung_(Austrian_player),1970-01-01
bunny_FuFuu,1996-08-23
burdol,2003-12-25
burntSanctuary,1996-07-17
burry,1970-01-01
bush,2000-11-29
bushy,1970-01-01
busio,2003-10-23
bvoy,1997-12-18
bwipo,1998-12-24
bắp_Bào,1988-06-29
cBL,1998-10-29
cOLD,1997-02-01
caD,1970-01-01
cabochard,1997-04-15
xabula,1998-03-19
cacah,1970-01-01
cacon,2001-06-12
caedrel,1996-03-19
caiPi,1997-02-13
cain,1987-02-06
cake,1995-01-27
call_Lin,1970-01-01
calm_(Vietnamese_player),1997-01-07
calmsky,1970-01-01
candice,1993-10-23
candyPanda,1993-06-23
candyfloss,1970-01-01
canee,1970-01-01
canna,2000-02-11
cantor,1990-05-21
canyon,2001-06-18
cao,1999-08-02
caoMei,1991-12-26
caps,1999-11-17
captain,1970-01-01
captainFlowers,1990-09-04
carbono,1970-01-01
care,2004-04-28
careta,1998-05-21
carioK,2000-01-31
carlsen,1970-01-01
carzzy,2002-01-31
cassin,2000-03-07
castle,1970-01-01
casual,2000-03-25
cat_(Chinese_player),1995-08-11
catch,1997-04-03
cathrine,2000-02-12
catjug,1970-01-01
cavalo,1970-01-01
cboi,1998-08-19
cdric,1970-01-01
celebrity,1996-12-25
cEO,2004-01-13
ceos,1998-08-08
cepted,1997-06-26
ceros,1993-12-07
chad,1970-01-01
chalice7,1970-01-01
champen,1970-01-01
changeName,1970-01-01
changhong,1997-01-25
chaox,1991-06-14
chap,1996-01-03
chapapi,1998-07-03
charger,1970-01-01
charley,1970-01-01
chaser,1995-08-01
chashao,1990-02-11
chasy,2001-04-20
chauster,1989-02-13
chawy,1991-11-28
chazz,1970-01-01
chelizi,2000-03-28
chelly,1998-08-27
chemera,1970-01-01
chenlun17,2001-01-18
cheonGo,1999-03-10
cheoni,1970-01-01
chibs,1970-01-01
chico,1970-01-01
chieftain,2000-11-26
chime,1970-01-01
chippys,1970-01-01
chips,1989-08-14
choisix,1996-04-17
chosenOne,1970-01-01
chovy,2001-03-03
chreak,1998-07-02
chres,1998-09-17
chris,1970-01-01
chrisberg,1999-07-29
chronicler,1970-01-01
chungy,1970-01-01
chunilda,1992-01-27
cinkrof,1997-08-09
citrus,2001-04-14
cl0x,1970-01-01
claire,1997-08-15
clear,1970-01-01
clearlove,1993-07-25
clement_Chu,1970-01-01
clever,2000-12-02
click,1997-11-22
clid,1999-07-06
closer,1998-09-29
cloud,1994-07-29
cloudTemplar,1988-11-09
clozer,2003-07-27
coated,2000-05-01
coCo,1994-03-14
cody_Sun,1997-04-25
cola,1994-04-18
coldenfeet,1970-01-01
coldraa,1970-01-01
color,1970-01-01
comet,1991-08-04
comp,2001-12-20
conan,1993-12-25
condi,1996-11-07
conse,1998-09-12
contractz,1999-08-25
cookie_(Swedish_player),2000-06-09
cool,1994-08-03
copy,1970-01-01
coreJJ,1994-06-22
corn_(Chinese_player),1997-03-04
corporal,2001-06-15
cospect,1970-01-01
cotopaco,1998-12-18
cover,1970-01-01
cow,1970-01-01
cozQ,1970-01-01
cozy,1970-01-01
cpt_Jack,1993-01-04
cptShrimps,1970-01-01
crash,1997-01-05
crazy,1996-09-20
crazycaps,1994-04-10
creaton,1994-03-21
creme,1970-01-01
creon,1999-08-26
crescent,1970-01-01
cresho,1970-01-01
crines,1995-09-07
crisp,1998-08-19
crit_Hero,1995-03-05
croc,1970-01-01
croco,1970-01-01
crocomux,1998-07-22
crown,1995-02-28
crowno,1970-01-01
crownshot,1998-04-17
cruiser,1970-01-01
crumbz,1993-02-06
crumple,2000-09-28
crush,1998-01-03
cryin,2000-11-05
crystal,1993-04-20
cuVee,1996-09-27
cube,1970-01-01
cuden,1995-12-17
cupcake,1994-12-10
curtis,1995-11-02
cuzz,1999-10-30
cyanide,1994-11-15
cyraXx,1970-01-01
czajek,1970-01-01
czekolad,1970-01-01
czypsy,1970-01-01
d4nKa,1970-01-01
dNA,1970-01-01
dNK,2001-03-04
dreampullka,1999-05-11
dRIFTER,1970-01-01
dagda,1992-11-11
dahvys,1970-01-01
dainank,2000-08-27
dajor,1970-01-01
dal,2005-01-11
damage,1997-06-20
dambaj,1970-01-01
damonte,1997-12-02
dan_(British_player),1996-09-11
dan_Dan,1970-01-01
danDy,1994-01-03
danny,1970-01-01
dany,1970-01-01
daption,1970-01-01
dara,1995-05-25
dardoch,1998-04-10
darien,1991-03-22
darkSide,1996-05-10
darkWings,1970-01-01
darker,1993-05-09
darlik,1970-01-01
dash,1991-04-04
dasher,1998-05-20
dawidsonek,2000-02-21
dawn_(Filipino_player),1970-01-01
day1,1994-12-15
decay,1970-01-01
decky,1970-01-01
decoy,1970-01-01
dedrayon,1995-01-30
defflok,1970-01-01
deficio,1991-08-22
deft,1996-10-23
deftly,1997-12-22
dehaste,1970-01-01
deidara,2001-09-07
deilor,1986-08-27
delight,2002-09-12
delitto,1994-10-24
demon_(Italian_player),1998-05-26
denVoksne,1970-01-01
denian,1970-01-01
denyk,1995-04-30
denzel,1997-09-22
deokdam,2000-02-25
destiny_(Australian_player),1997-10-27
destroy,2000-05-08
deádly,1999-08-28
dhokla,1997-07-17
dia1,2001-10-09
diablo,1970-01-01
diamond_(Canadian_player),1970-01-01
diamondprox,1992-12-24
dice,1970-01-01
dimill,1970-01-01
dimonko,1993-10-20
dinTer,1990-11-26
dinka,1970-01-01
dinoricar,1997-03-25
dioud,1990-11-03
diplex,2003-07-15
dipsy,1997-10-03
dipzey,1995-05-29
direnc,1970-01-01
disamis,1970-01-01
disave,1970-01-01
eKKA,1997-01-21
divider,1970-01-01
divkid,2001-07-18
dizzy,1970-01-01
djoko,1997-03-01
dnDn,1970-01-01
do1u1u,1997-11-12
doRaoN,2001-03-14
dodo,1989-02-25
doeDoii,1970-01-01
doggo,2003-01-14
doinb,1996-12-30
dom1nant,1997-02-16
domas,1970-01-01
don_Arts,1998-10-16
donbray,1970-01-01
doran_(Choi_Hyeon-joon),2000-07-22
doss,1999-03-19
doubleAiM,1996-05-29
doublelift,1993-07-19
dove,1998-07-25
doxa,1970-01-01
doxy,1998-03-18
drChaos,1970-01-01
drMatt,1970-01-01
dracxar,1970-01-01
dragane,1999-07-17
dragdar,1970-01-01
dragflick,1998-09-23
dragku,1970-01-01
dragon_(Portuguese_player),1970-01-01
dragonminkim,1970-01-01
dragoon,1970-01-01
drakos,1970-01-01
draktharr,2003-03-10
dread_(Korean_player),2000-06-07
dreamerAce,1997-05-09
dreams_(Korean_player),1996-03-07
dreamsu,1970-01-01
dred,1970-01-01
dreedy,2000-12-10
driver,2002-04-04
drobovik123,1995-11-16
drop,1999-09-01
duDu,2001-03-08
duaLL,1997-08-14
duclou,1998-09-23
dudsTheBoy,1996-03-30
duke,1994-12-19
duke_(French_coach),1991-10-01
dumbledoge,1994-03-16
dummy,1999-03-28
duoking,1970-01-01
dylan_Falco,1970-01-01
dyrus,1992-03-30
eGO,2000-10-18
eGym,1994-04-25
eMENES,1970-01-01
easyhoon,1992-11-23
eckas,2001-10-29
eclipse_(Yujie_Wu),1970-01-01
eddie,2003-06-17
eden,1970-01-01
edgar,1984-01-03
edward,1994-05-01
effort,2000-11-23
efias,1998-07-30
eign,1970-01-01
eika,1996-07-19
eimy,1996-01-08
elfishguy,1994-08-30
elio,2000-11-07
elk,2001-09-29
ellam,2000-05-24
ellim,2000-05-25
elramir,1970-01-01
elusion,2002-01-14
elwind,1993-10-14
elyoya,2000-03-13
emiw,2001-11-11
emp,1996-09-17
emperor,1993-06-07
empt2y,1997-07-15
enatron,1994-01-24
ender,1998-04-20
endz,1970-01-01
enel,1970-01-01
energy,1970-01-01
engo,1970-01-01
enjawve,1998-10-14
enso,1970-01-01
enty,1997-09-25
envy,1998-08-12
envyCarry,2000-12-14
envyy,1970-01-01
equivocaL,1993-09-05
eragon_(English_player),1970-01-01
erasus,1970-01-01
erdote,1999-07-19
eren_(Czech_player),1970-01-01
erixen,1999-05-24
erry,1997-04-06
evanRL,1970-01-01
evi,1995-11-15
evolved,1970-01-01
evrot,1970-01-01
exakick,2003-09-28
exile_(German_player),1997-04-21
exosen,1970-01-01
expect,1996-07-04
expession,1992-09-16
exyu,1970-01-01
eyla,1970-01-01
eyliph,1970-01-01
eścik,1970-01-01
f4rg,1970-01-01
fATE_(Korean_player),1970-01-01
fBI,1970-01-01
fEBIVEN,1996-09-23
fIESTA,1970-01-01
fORG1VEN,1992-07-23
fUN_k3y,1970-01-01
fZZF,1991-07-24
facen,1970-01-01
fakeGod,1970-01-01
faker,1996-05-07
falco_(Spanish_player),1994-06-24
fallen,1970-01-01
fallenBandit,1996-06-04
fanatiik,2001-05-22
farfetch,1998-09-09
fatMamma,1990-06-30
fatShield,1970-01-01
fax,1970-01-01
feeNiixZ,1970-01-01
feedarias,1970-01-01
feint_(Italian_player),1997-01-17
fenfen,1998-08-29
fenix,1995-12-07
ferret,1970-01-01
fill,1997-01-04
findus,1970-01-01
finn,1999-06-03
fireFox,1984-12-13
fireRain,1998-10-30
fireloli,1996-05-28
fisher,1970-01-01
fittle,1998-06-23
fitz,1970-01-01
fix,1996-03-28
fizzi,1970-01-01
fl4mer,1998-10-13
flakked,1970-01-01
flandre,1998-08-28
flaresz,1997-11-05
flashInTheNight,1993-10-19
flawless,1998-07-26
flaxxish,1996-02-01
flaystation,1999-02-08
fleck,1970-01-01
flipper,1970-01-01
fly_(Song_Yong-jun),1996-02-25
foFo,1999-01-08
follen,2001-01-28
follow,1970-01-01
fomko,1992-01-19
forellenLord,1994-08-05
forest,2002-03-22
forge,2000-09-01
four,1997-10-22
fox,1995-05-26
frae,1997-12-19
fragas,1970-01-01
fraid,1970-01-01
frappii,2001-11-19
freeze,1994-06-06
freire,1970-01-01
freshx,1996-10-14
fresskowy,1970-01-01
froggen,1994-02-21
froggy,2002-12-08
froskurinn,1991-04-25
froststrike,1970-01-01
frozen_(Portuguese_player),1970-01-01
fudge,1970-01-01
funahwi,1970-01-01
furuy,2000-12-16
fury_(Korean_player),1995-11-11
g0DFRED,1995-07-05
g4,1997-10-31
gala,2001-02-14
gBM,1994-06-23
gODV,1997-07-16
gYX,1970-01-01
gaaloul,1999-07-21
gabbo,1970-01-01
gaboesh,1970-01-01
gadget,1999-07-12
gaeng,1996-08-10
gagai,1970-01-01
gamsu,1995-02-14
gango,1997-05-16
gari,1970-01-01
gariaru,1995-01-16
garo,1970-01-01
