date,team1,team2,team1players,team2players,team1score,team2score,winner,url
2015-12-07 00:00:00,Fnatic,Not Enigma,"['morte', '2Easy', 'vallutaja', 'uNFixed', 'stefan', 'winghaven']","['enigma', 'clockwork', 'seagull', 'oPlaiD', 'harbleu', 'mESR']",0,2,2,https://liquipedia.net/overwatch/ESL_Overwatch_Atlantic_Invitational
2015-12-07 00:00:00,Fnatic,Team Hubris,"['morte', '2Easy', 'vallutaja', 'uNFixed', 'stefan', 'winghaven']","['coolmatt69', 'talespin', 'chump', 'ras', 'minstrel', 'esper']",0,2,2,https://liquipedia.net/overwatch/ESL_Overwatch_Atlantic_Invitational
2015-12-07 00:00:00,Not Enigma,Team Hubris,"['enigma', 'clockwork', 'seagull', 'oPlaiD', 'harbleu', 'mESR']","['coolmatt69', 'talespin', 'chump', 'ras', 'minstrel', 'esper']",1,3,2,https://liquipedia.net/overwatch/ESL_Overwatch_Atlantic_Invitational
2015-12-07 00:00:00,Fnatic,Melty eSport Club,"['morte', '2Easy', 'vallutaja', 'uNFixed', 'stefan', 'winghaven']","['moonL', 'kryw', 'deGuN', 'kabaL', 'niCOgdh', 'baud']",2,1,1,https://liquipedia.net/overwatch/ESL_Overwatch_Atlantic_Invitational
2015-12-07 00:00:00,Melty eSport Club,Team Hubris,"['moonL', 'kryw', 'deGuN', 'kabaL', 'niCOgdh', 'baud']","['coolmatt69', 'talespin', 'chump', 'ras', 'minstrel', 'esper']",1,2,2,https://liquipedia.net/overwatch/ESL_Overwatch_Atlantic_Invitational
2015-12-09 00:00:00,Fnatic,MyDong,"['morte', '2Easy', 'vallutaja', 'uNFixed', 'stefan', 'winghaven']","['2GD', 'tviQ', 'fazz', 'kowa', 'art1er', 'draceus']",2,0,1,https://liquipedia.net/overwatch/GD_Overwatch_EU_Laststand
2015-12-09 00:00:00,HULKtastic,Fnatic,"['bromaS', 'harryHook', 'liNkz', 'vonethil', 'cocco', 'sanchez']","['morte', '2Easy', 'vallutaja', 'uNFixed', 'stefan', 'winghaven']",1,2,2,https://liquipedia.net/overwatch/GD_Overwatch_EU_Laststand
2015-12-09 00:00:00,K1ck eSports Club,SG-1,"['michr', 'eissfeldt', 'mztikk', 'rulah', 'taimou', 'quad']","['hymzi', 'zappis', 'mafu', 'hocz', 'kyynel', 'rebeli']",2,1,1,https://liquipedia.net/overwatch/GD_Overwatch_EU_Laststand
2015-12-09 00:00:00,Melty eSport Club,Fnatic,"['moonL', 'kryw', 'deGuN', 'kabaL', 'niCOgdh', 'baud']","['morte', '2Easy', 'vallutaja', 'uNFixed', 'stefan', 'winghaven']",3,2,1,https://liquipedia.net/overwatch/GD_Overwatch_EU_Laststand
2015-12-09 00:00:00,Melty eSport Club,HULKtastic,"['moonL', 'kryw', 'deGuN', 'kabaL', 'niCOgdh', 'baud']","['bromaS', 'harryHook', 'liNkz', 'vonethil', 'cocco', 'sanchez']",2,0,1,https://liquipedia.net/overwatch/GD_Overwatch_EU_Laststand
2015-12-09 00:00:00,K1ck eSports Club,FlipSid3 Tactics,"['michr', 'eissfeldt', 'mztikk', 'rulah', 'taimou', 'quad']","['shaDowBurn', 'godspeed', 'forsak3n', 'anak', 'sharyk', 'dikker']",2,1,1,https://liquipedia.net/overwatch/GD_Overwatch_EU_Laststand
2015-12-09 00:00:00,Melty eSport Club,K1ck eSports Club,"['moonL', 'kryw', 'deGuN', 'kabaL', 'niCOgdh', 'baud']","['michr', 'eissfeldt', 'mztikk', 'rulah', 'taimou', 'quad']",2,0,1,https://liquipedia.net/overwatch/GD_Overwatch_EU_Laststand
2016-01-02 11:00:00,LinGan e-Sports,NGA.Scythe,"['justIBb', 'lolicat', 'ceres', 'timon', '06QianXia', 'iFiNG']","['canon', 'easy', 'sinon', 'dragon', 'tuiz1', 'kangyi']",0,2,2,https://liquipedia.net/overwatch/DouyuTV_NGA_Cup/Season_2
2016-01-02 13:00:00,NGA.Scythe,ahq e-Sports Club,"['canon', 'easy', 'sinon', 'dragon', 'tuiz1', 'kangyi']","['afteR', 'cowman', 'danny', 'eDDIE', 'ericEnn', 'krapy']",0,2,2,https://liquipedia.net/overwatch/DouyuTV_NGA_Cup/Season_2
2016-03-14 18:45:00,Flat Earth,melty eSport Club,"['draceus', 'bromaS', 'liNkz', 'art1er', 'knOxXx', 'numlocked']","['baud', 'deGuN', 'piPou', 'niCOgdh', 'moonL', 'kabaL']",2,0,1,https://liquipedia.net/overwatch/Game_On/Overwatch_Arena/Season_1
2016-03-14 20:15:00,Quake Fortress,G2 Esports,"['forsak3n', 'cYpheR', 'shaDowBurn', 'sharyk', 'av3k', 'cOOLLER']","['knOxXx', 'soOn', 'skipjack', 'taimou', 'numlocked', 'uNKOE']",2,0,1,https://liquipedia.net/overwatch/Game_On/Overwatch_Arena/Season_1
2016-03-14 21:30:00,REUNITED,IDDQD,"['morte', '2Easy', 'vallutaja', 'uNFixed', 'winghaven', 'kruise']","['chipshajen', 'harryHook', 'iNTERNETHULK', 'cocco', 'taimou']",0,2,2,https://liquipedia.net/overwatch/Game_On/Overwatch_Arena/Season_1
2016-03-15 18:00:00,REUNITED,Flat Earth,"['morte', '2Easy', 'vallutaja', 'uNFixed', 'winghaven', 'kruise']","['draceus', 'bromaS', 'liNkz', 'art1er', 'knOxXx', 'numlocked']",0,2,2,https://liquipedia.net/overwatch/Game_On/Overwatch_Arena/Season_1
2016-03-15 19:30:00,SG-1,G2 Esports,"['hymzi', 'zappis', 'mafu', 'hocz', 'punpu', 'kyynel']","['knOxXx', 'soOn', 'skipjack', 'taimou', 'numlocked', 'uNKOE']",0,2,2,https://liquipedia.net/overwatch/Game_On/Overwatch_Arena/Season_1
2016-03-15 20:15:00,IDDQD,Quake Fortress,"['chipshajen', 'harryHook', 'iNTERNETHULK', 'cocco', 'taimou']","['forsak3n', 'cYpheR', 'shaDowBurn', 'sharyk', 'av3k', 'cOOLLER']",2,0,1,https://liquipedia.net/overwatch/Game_On/Overwatch_Arena/Season_1
2016-03-21 18:00:00,SG-1,Quake Fortress,"['hymzi', 'zappis', 'mafu', 'hocz', 'punpu', 'kyynel']","['forsak3n', 'cYpheR', 'shaDowBurn', 'sharyk', 'av3k', 'cOOLLER']",0,2,2,https://liquipedia.net/overwatch/Game_On/Overwatch_Arena/Season_1
2016-03-21 18:45:00,IDDQD,Flat Earth,"['chipshajen', 'harryHook', 'iNTERNETHULK', 'cocco', 'taimou']","['draceus', 'bromaS', 'liNkz', 'art1er', 'knOxXx', 'numlocked']",2,0,1,https://liquipedia.net/overwatch/Game_On/Overwatch_Arena/Season_1
2016-03-21 19:30:00,REUNITED,melty eSport Club,"['morte', '2Easy', 'vallutaja', 'uNFixed', 'winghaven', 'kruise']","['baud', 'deGuN', 'piPou', 'niCOgdh', 'moonL', 'kabaL']",2,0,1,https://liquipedia.net/overwatch/Game_On/Overwatch_Arena/Season_1
2016-03-22 18:45:00,IDDQD,melty eSport Club,"['chipshajen', 'harryHook', 'iNTERNETHULK', 'cocco', 'taimou']","['baud', 'deGuN', 'piPou', 'niCOgdh', 'moonL', 'kabaL']",2,0,1,https://liquipedia.net/overwatch/Game_On/Overwatch_Arena/Season_1
