pagename,birthdate
a1GA,1970-01-01
a1kyan,1970-01-01
aCE_AcT_ilsE,1970-01-01
aSTRO,2001-01-19
aTK_(Italian_Player),1970-01-01
abichu,1988-02-10
abner,1970-01-01
abreu,1970-01-01
abunai,2000-05-29
ace_(Stephen_Beukes),1970-01-01
aceOfPyrite,1985-07-05
aceeZ,1997-01-08
acez,1997-06-24
achieved,1997-09-17
acid,1998-12-13
adam,1997-07-18
adam_Mulligan,1970-01-01
adamB,2001-08-30
adonai,1996-09-06
adriano,1970-01-01
affy,1970-01-01
afro,1970-01-01
agOnY,1970-01-01
aherys,1992-11-29
aimb0t,1998-08-03
alan,1970-01-01
alanDerf,1970-01-01
alation,1995-12-16
alban,1993-01-18
aleanboy,2001-01-30
ale11,2002-10-11
alem4o,2001-10-18
alexPolo,1995-06-09
aliine,1970-01-01
alive,1995-12-03
alpaca,1970-01-01
alpha,1996-08-15
alphaX,1970-01-01
alphama,2000-05-29
always,2002-03-07
amA,1970-01-01
amFlea,1970-01-01
amaze,1993-05-17
amedalook,1993-02-21
amision,2000-05-11
anGryX,2003-03-04
anThraX,1994-07-28
anarchic,1997-09-12
anarki,1970-01-01
andreezy,2003-04-21
animaul,1970-01-01
anitun,2000-11-14
anna_Prosser,1970-01-01
anthony,1988-05-14
anthonyMGS,2001-04-06
anthox,1970-01-01
apple,1970-01-01
aqui,2001-12-19
ar7hur,1992-01-18
arms_Tina,1999-10-05
aroer1na,1994-12-27
array,1970-01-01
arukaze,2002-03-22
asK,2002-09-06
assassin,1995-05-19
asterix,1970-01-01
astro,1997-06-01
atharv,2001-05-10
atlaS,1970-01-01
atlas_(Mexican_Player),1970-01-01
atoomikk,1970-01-01
atypical,1993-07-31
atypickl,2003-06-23
aueR,1997-09-08
august,2002-08-08
avaiche,1999-06-05
avenQo,1998-09-10
aviM,2000-09-17
avian,1970-01-01
avixes,1970-01-01
ayagator,2001-05-30
ayan,1970-01-01
ayver,1970-01-01
ayzenn,1970-01-01
azN,1970-01-01
azzyyyS,1998-05-31
b3RC1,2000-09-27
bC,1970-01-01
bCK,1970-01-01
bD,2000-05-20
bGMan,2000-08-26
bK-201,1970-01-01
bKN,1990-03-21
bL4NK,2000-12-08
bLU,1995-03-20
bOB,1970-01-01
bOPE_(Mexican_Player),2001-08-03
bRAVE,1970-01-01
baasheD,2000-02-15
babaGusta,1999-05-06
bagel,1970-01-01
bailey,1970-01-01
