pagename,birthdate
zPS,2004-03-22
saucy,2003-08-06
tristn,2000-11-08
0ver_Zer0,1996-09-02
2Die4,2005-06-03
2Fast,2000-08-09
2Piece,2006-05-17
43,1998-02-24
4ngryman,2005-06-04
7111,1970-01-01
a_Random_Chicken,1997-02-21
a1pha_Killer,2006-05-29
aDOS,1970-01-01
aNDYTHEMANDY,1999-06-20
aSN_RuBiiX,2003-01-09
aYYJAYY,2002-12-10
aaronGillLIVE,1998-11-29
abdulaziz,1970-01-01
abeogand,1970-01-01
absorbentKarma,2000-07-26
abyssial,1970-01-01
acaraje19,1970-01-01
achieves,1994-07-02
achunl2,1970-01-01
acroniK,2005-07-07
addzey,1995-03-06
adriandro,1970-01-01
adum,1970-01-01
adverse,1970-01-01
adzer,2002-07-05
aeon,1970-01-01
aguesome,1970-01-01
ahmad,2002-11-18
aidanseesthings,1992-10-08
ajC,1970-01-01
akenro,1970-01-01
akira90,1997-03-13
al_Dente,1970-01-01
alRaz,2002-08-30
alee,2003-12-27
alen,2002-03-20
alessio,1998-04-13
alex161,1998-10-09
alisa,1996-11-29
allushin,1999-09-03
alpe,2003-01-11
alphaKep,1998-02-09
alternix,1970-01-01
amari,1970-01-01
amongStar,1970-01-01
anDeY,1994-07-18
andii,2001-06-11
andom,2001-10-26
androzz,1970-01-01
andy,2004-04-01
angel,2002-07-08
antiVenomm,1970-01-01
apostyy,1970-01-01
apparentlyJack,2003-09-23
aqua,2006-12-21
arab,1999-08-28
arceon,1970-01-01
arkantor,1993-01-31
arsenal,2002-03-16
artyrus,1999-04-29
aryaNeil,1970-01-01
astra,2002-10-20
astroh,2000-09-12
athena,1996-08-13
atomiK,2004-10-01
atomic,2003-08-12
atow,2007-02-22
auntJemima,1997-01-21
avenger,1999-10-06
aviator,1970-01-01
axB,1995-09-19
axeltoss,1990-08-13
ayamii,2001-11-19
aza,2003-04-08
azamil,2002-01-10
azara,2000-11-15
azer,1970-01-01
azfura,2001-10-09
azmo,2005-07-18
aztraL,2002-12-26
aztromicK,1970-01-01
b00M,2001-07-13
b2seL,2003-11-28
bC,1970-01-01
bJayB,2003-05-22
bacon,1970-01-01
baileym8,1970-01-01
baithoven,1997-10-12
baked_Potato,2001-03-07
bal,1970-01-01
ballerrees,2002-11-10
bambii,2001-12-27
bamz0rs,1970-01-01
bananaMan,1996-10-24
bango,1999-08-16
barist,2001-02-02
base,1999-06-29
bassFromThePast,1999-02-19
bassam,1970-01-01
batOu,2001-10-28
bathtub,1970-01-01
battlelain,1998-01-08
baz,1970-01-01
bePeak,1998-03-06
bear_Light,1990-06-20
beastMode,2005-08-03
beastaboniam,2001-11-06
beatnik,1970-01-01
beeyu,2005-02-24
bell,1970-01-01
ben-Nzth,1998-07-06
benniiz,1970-01-01
bertoh,2002-09-13
bidniss,1996-10-07
bilbo,1999-07-19
bits,1970-01-01
black,1970-01-01
blackstrike,1970-01-01
blanc,1970-01-01
blanks,1970-01-01
blasky,1999-02-19
blaze_(American_Player),1970-01-01
blimp,1970-01-01
blip,1970-01-01
bloodoh,2002-04-08
blossom,1998-02-05
blue,1970-01-01
blueze,1999-10-31
bob_Skywalker,1995-01-18
bobsto,2001-04-07
bonz,2001-05-11
borito_B,1999-03-17
bork,1996-10-09
bork_(Scottish_Player),2003-09-08
boyScHool_Q,1998-06-11
boyan,1970-01-01
boyoroyo,2003-11-16
braan,2001-09-22
bram,2000-10-30
brandon,2003-02-11
brazy,2002-05-24
brendan,2003-04-08
brinka,2002-03-14
brisky,1970-01-01
broc,2003-01-10
brohnB,1970-01-01
broski,2003-02-18
bruno,2003-02-10
bubz,1970-01-01
buddha,1999-10-22
bunnyDummy,2003-10-16
bushard,1985-10-25
busse,1970-01-01
butters,1970-01-01
byJesuxEsP,1998-11-09
byMateos,1999-03-10
byza,1989-08-20
bække,1995-10-15
c4,2003-04-11
cJCJ,1998-08-06
cJM,2000-08-14
cORROSIVE,1970-01-01
cP,1970-01-01
cS3,1970-01-01
calix,2002-02-20
calstar,1970-01-01
calzafy,2000-09-26
camel,2002-04-29
camzyh,2002-07-17
cara,1993-11-08
carbo,2002-09-29
carloskista,1970-01-01
catalysm,2002-02-15
cauli,2001-08-02
cawy,1970-01-01
celcius,1989-09-11
chArGiNgDiNgLe,1997-01-22
cha,1970-01-01
cha0s,2000-01-06
chamako09,1970-01-01
chausette45,2001-03-16
cheeky,2002-08-19
cheerio,1970-01-01
cheery,2001-08-20
cheeseCake,2003-02-28
cheeseFace,1970-01-01
chicago,2001-06-12
chiefWalrus,1970-01-01
chilli,1970-01-01
choke,1999-07-18
choxic,1970-01-01
chr1s,1970-01-01
chris,2002-07-18
chrisTheAverage,1999-11-11
chrisx888,2003-08-17
chrome,1993-03-29
chronic,2005-09-05
chronomia,2000-07-20
chuky,1970-01-01
church,1970-01-01
clairity,1995-06-12
classic_(Caster),1970-01-01
classic,2001-05-03
classicOldMate,1970-01-01
claven,2001-10-14
clayX,2000-09-30
clean,2001-12-02
cloud,2002-04-04
cloudFuel,1970-01-01
cluney,1970-01-01
cmoney,1970-01-01
coCo,2000-05-13
coach_Bass,1970-01-01
coach_Curtis,1996-11-17
cokeHUN,2000-03-07
cole,1993-08-06
colemanA,1970-01-01
comp,2001-07-20
compact,2004-10-20
confusioN,1970-01-01
continuum,1996-11-26
cooper,1970-01-01
corelli,1994-02-24
corruptedG,1995-06-01
courtney,2001-07-25
covari,2003-02-11
crave,1970-01-01
crazy,2002-02-08
cre,1970-01-01
crioliix,2001-06-30
crisiZ,2003-03-10
crisp,1995-11-01
crispp.,2005-01-15
crispy,2006-06-03
critzay,1970-01-01
cro,2000-05-24
crowsShinyWings,1970-01-01
crs,1996-08-17
cruzey,2003-03-21
cruzza,2000-04-06
cryptic,2002-11-16
curt,2001-07-18
curto,1970-01-01
cynical,2002-05-24
d4rw1N,1970-01-01
dK,1970-01-01
daBeastXD,1970-01-01
dacks,1970-01-01
dadooh,1995-06-28
dahma,1970-01-01
daisu,1998-04-25
daisy,2004-11-01
dalton,2002-04-03
dangerTaco,1970-01-01
dangles,1970-01-01
daniel,2006-12-05
dannyBoyATM,1970-01-01
danzhizzLe,1970-01-01
dappur,1999-02-22
dareyck,1970-01-01
dark,1999-04-28
darkFire,1998-05-01
darth,1970-01-01
darxtz,2006-10-09
data,1970-01-01
daze,1970-01-01
dazerin,1996-02-17
deathxplotion,1970-01-01
decxp,2003-08-17
defzzy,2005-01-07
deitySpartan,1970-01-01
delay,2000-06-20
deli,2001-10-08
delta_(American_Caster),1996-04-29
deluxe,1999-09-21
demo,2001-01-19
demonifying,1970-01-01
demoqz,1998-05-01
deprvty,1970-01-01
dequavis,1970-01-01
derk,1970-01-01
devon,1999-08-11
dex,1988-02-17
dexter,2004-05-31
dezu,2000-09-15
diLegacy,1970-01-01
dibble,1970-01-01
dicky,1970-01-01
didris,1998-05-10
dimo,1970-01-01
dino,2003-01-29
disLike,2000-09-18
discreet,2003-03-26
diz,1970-01-01
dodge,1996-06-12
doggo,2000-08-12
dogu,2000-08-08
donnie,1970-01-01
dooble,1970-01-01
dootsi,2002-02-16
dorito,2004-02-19
dot,2000-02-01
dover,1997-11-18
drK,1970-01-01
dreameh,2000-06-26
drewski,1998-10-26
drippay,2000-03-09
drumzorz,1970-01-01
duckMoriarty,1998-11-13
dudeWithTheNose,1970-01-01
duds,2003-06-09
duduBRHue,1970-01-01
duis,1999-09-14
duke_William,1970-01-01
dumbo,1970-01-01
duskippy,1970-01-01
dynamo,2002-02-19
eLMP,1995-11-18
eNiGMA,1970-01-01
ePICJonny,1970-01-01
eSS,1970-01-01
easel,2002-12-26
easy,2003-02-14
echo,1970-01-01
eckhard,2001-05-17
eclipse,1999-05-26
el_General,1994-07-16
elOmarMaton,2002-09-15
electro,2002-03-25
elfishguy,1994-08-30
elyy,2002-03-03
emile,1970-01-01
empty,1970-01-01
enforcer,2002-06-24
ensy,1970-01-01
envoy,1970-01-01
epicToastie,1994-11-29
erAle001,1998-06-18
erdemPie,2000-06-18
eren,1970-01-01
eris,2003-03-18
ernst_Raggelbak,1995-06-17
ertunc,1970-01-01
espeon,1996-06-28
esper,1999-09-28
ethanPlusPlus,1998-07-07
ethzn,2003-04-22
evample,1970-01-01
eversax,1996-06-24
eviL,2004-05-05
exile,1970-01-01
exotonic,1970-01-01
express,1998-08-22
extra,2001-11-12
eyeIgnite,1996-04-23
f.,1989-01-22
fARz,2000-07-17
fBI_Tugboat,1970-01-01
fERGM,2004-12-03
fTMHere,2004-01-23
faNaTiz,1995-01-13
fabiDerKrosse,1996-03-10
fabso,2003-01-07
face,1970-01-01
facha510,2003-08-20
faded_(Scottish_Player),2000-11-24
fahad77,2005-06-04
fairy_Peak,1998-05-26
faitti,1970-01-01
fakey,1999-04-04
fakyy,1970-01-01
falacer,2000-02-01
fallen,2001-11-05
falss,1970-01-01
fant,1970-01-01
faykow,2000-02-16
fearless_(American_Player),2005-03-09
feer,1992-12-04
fefe,2002-08-15
fenoSiicK,1999-12-11
ferra,1996-10-31
fever,2004-12-06
fey2307,2002-07-23
fiberr,2005-03-18
ficeo,1970-01-01
fickle_Platypus,1992-12-18
findableCarpet,1970-01-01
finex,2001-12-31
finish,1970-01-01
finnerdt,2001-10-12
firas,2003-05-09
fireRaptor,2001-07-28
fireburner,1997-10-18
firefoxD,2001-11-15
firewall154,2001-02-16
fireworks,1990-04-23
firstkiller,2004-12-19
fishhR,2002-01-07
fitz,1970-01-01
flakes,2000-04-12
flamE,1999-09-27
flare,2004-03-05
flarke,1995-09-22
flexxy17,1970-01-01
flitz,2003-12-17
floms,1970-01-01
flown_Ciesta,1970-01-01
fluff_Ball,2001-06-23
flux,1996-01-11
flux_(Australian_Player),2002-10-11
flwles,2003-03-15
foof,1970-01-01
force,1970-01-01
forece,2002-12-14
forky,2001-08-27
formalCasting,1991-02-16
fortymula7,1970-01-01
foxxy,1994-02-27
frag,1998-01-15
freaKii,1996-08-02
freecant,2000-03-03
freeze,1970-01-01
frenzyy,2002-07-16
freshness,2002-10-04
freveo,2002-11-05
friis,1997-01-24
frostiger,1970-01-01
frutz,1998-02-18
fusure,2002-03-05
fuury,1996-08-31
fyshokid,1994-01-21
gCR710,1997-07-10
gMSexay,1970-01-01
gaTox,1970-01-01
gambit,1970-01-01
ganfi,1970-01-01
garrettG,2001-02-06
gaspow,1995-07-29
gauthier_Klauss,1987-12-17
gdabdiel,2004-03-15
geNeSiS,2000-08-02
gebbx,1970-01-01
gekk,2003-02-17
gengar,2001-08-08
genocop,1970-01-01
geo,1970-01-01
gerry_Goorlap,1970-01-01
ghost_(Australian_Player),1998-08-25
ghostcrash,1996-11-11
gib,1998-04-18
gibbs,1987-04-20
gilthanes,1989-05-22
gingerNinjaDT9,1970-01-01
glocka,1970-01-01
glooten,1995-06-21
glooten,1995-06-21
gnagflow06,1999-10-26
goGoYubari,1997-06-27
godZilla,1995-08-13
godlayy,1970-01-01
godsmilla,2000-02-16
goldShadow,2004-10-04
gon,2001-04-16
gonk,2000-07-26
gontho,1997-10-25
gotex,1970-01-01
graci,1992-10-24
gravyy,1970-01-01
gregan,1970-01-01
grimmi97,1997-12-17
groke,2000-06-30
groovyGrape,1999-10-03
growlii,2004-12-29
gschwind,1987-11-06
guilian,1987-10-30
gumby,1970-01-01
gumerProd,2002-05-03
gussy,1970-01-01
gvastrion,1970-01-01
gyro,2002-10-13
gyzow,1970-01-01
hAZA,2003-11-05
hakeem,1999-12-25
halcyon,1970-01-01
halden,2004-03-04
hanseN,1970-01-01
happymeal,1999-10-13
happypingoo,1970-01-01
hargun,2003-02-20
haru,1970-01-01
hasyimf,1970-01-01
hato,1970-01-01
hawk,2005-11-26
hazmat,1970-01-01
heavY,1970-01-01
hecticCrunt,1970-01-01
hepsKid,2005-01-29
hiruko,1995-05-27
hooups,2001-03-25
hotWheelsSid,1998-09-25
hotxGrandma,1991-07-10
hughesy,1970-01-01
huncho,1970-01-01
hungry,2004-12-06
huskih,1970-01-01
hybrid,2004-04-30
hyder,2002-10-31
hyferia,1999-10-27
hyppedro,1970-01-01
hysterics,1970-01-01
ian_(American_Manager),1970-01-01
ian,2003-04-27
ibai,1970-01-01
icekingbob,1970-01-01
iceteazy,1998-07-06
icy,2005-05-16
ignited,1997-11-07
imminent,1970-01-01
impacT,2001-01-25
impressive,1999-09-30
infinite,1970-01-01
innocence,1970-01-01
insolences,1970-01-01
iryzer,2002-03-30
isengard,1970-01-01
isma,2001-11-06
its_Trueno,2004-01-13
itsOlympic,1970-01-01
itsPureLogic,1996-08-10
itsulen,1992-05-27
jBassFox,1989-01-11
jBrad,1999-05-21
jD,1970-01-01
jG7,1998-04-02
jJPrezus,2002-08-30
jKfoshizzle,1970-01-01
jKnaps,1999-09-30
jPow,2002-05-17
jRodz,1970-01-01
jW,1970-01-01
jWeyts,2004-05-08
jWismont,1998-12-22
jZR,1995-08-18
jack,1970-01-01
jackay,1970-01-01
jackleby,1970-01-01
jacob,1997-01-01
jaffa,1970-01-01
jahzo,1997-01-21
jaimee,2004-07-28
jakeypoo,1970-01-01
james_(Australian_Player),1970-01-01
jamesbot,1989-09-14
janmebows,1970-01-01
jarelNaden,2002-07-13
jarno,2002-08-13
jato,2001-08-30
jay,2002-11-08
jayless,1970-01-01
jayyyrah,1970-01-01
jazii,2004-05-04
jbot,2001-08-01
jebro,1970-01-01
jelly,1970-01-01
jelly_(Australian_Player),1970-01-01
jessie,1996-11-04
jet,1970-01-01
jet-Li,1970-01-01
jian,1970-01-01
jiga.,2003-12-30
jiiYee,1970-01-01
jimby,1970-01-01
jimmer,1990-03-26
jitt,2001-07-22
jkow,1970-01-01
jnr,1999-04-03
joey,1970-01-01
johann,1970-01-01
john,2005-07-29
jolly,1970-01-01
jordyUnKnown,1997-09-19
joreuz,2005-03-08
joro,2001-03-22
josherSquasher,1970-01-01
joshuadx7,1970-01-01
joshy,1970-01-01
juan,2001-11-23
juanluESP,1970-01-01
judge,1995-04-10
juicy,1996-07-14
julz,2000-02-03
junior,1970-01-01
jupiter,1991-06-18
jusTZoly,2001-04-10
justSpecs,1970-01-01
justify,1999-12-27
justuszzz,2003-10-09
juxta,1970-01-01
k.z,1970-01-01
kAR0TTENP0WER,1970-01-01
kadium,1987-09-18
kael,1995-06-12
kai99jr,2001-12-11
kaiju,2000-07-09
kairos,2000-10-22
kaizen,2002-12-17
kamii,2000-09-21
kanra,1997-12-16
kaotik,1997-04-21
karma,1993-01-09
karoto,2000-12-12
kash,2001-10-30
kassio,2001-04-24
kayyali,1990-03-26
keegabyte,1994-10-23
keever,1999-01-10
kef,1970-01-01
kend0,1970-01-01
kenny_Salmon,2002-02-05
kerupt,1997-08-12
kerwin,1970-01-01
kevin_(Thai_Player),1970-01-01
kevin07,2001-01-10
kevpert,1970-01-01
kewc,1999-05-15
khaelaN,1994-11-08
kharon,2000-09-19
kia,1970-01-01
kidjauum,1970-01-01
killarnaud,1970-01-01
killerican,1970-01-01
killero,2002-09-13
king_Wizard,1970-01-01
kingjs,2000-02-03
kira,1998-06-15
kiruso,2003-06-19
kisai,2003-06-01
kito,2003-06-20
klassux,1999-04-02
klaus,2004-12-16
klawzt,1970-01-01
klu,1998-08-15
klxn,1970-01-01
knauff,2003-07-07
knsMoonster,2004-01-02
koala,1970-01-01
kontrol,2000-07-31
kopt,1986-11-20
korski,1970-01-01
kozen,2002-02-25
krass,2004-03-28
kraw,2000-04-27
krazack,1970-01-01
krilin,1970-01-01
kronovi,1997-08-30
kryptos,2000-05-27
kuXXeon,2001-03-14
kunoku,1970-01-01
kvn,2003-07-15
kyRo,2000-05-18
kyle_Masc,1970-01-01
kyuu,1997-10-03
lCT,2002-08-18
laayoh,1970-01-01
labyrinth,2000-04-03
lachinio,1999-10-31
lance,1970-01-01
lasKa,1970-01-01
laser,2002-08-07
laucha,1970-01-01
laz,1996-11-17
le_Duck,2001-04-20
le_Mon,1970-01-01
leachy,1993-10-20
lek0ms,2001-03-13
lem0naZ,2000-09-23
lemonKiwi,1993-02-09
lemsky,1970-01-01
lenrid,1998-01-20
leoDkn,2002-10-17
lethal,2003-02-16
lethalforlife,1998-07-07
lethamyr,1995-03-31
leverageL1,1991-07-04
leviathan,2005-04-06
lgndary,2003-02-14
liFox,2003-11-07
libertein,1993-11-10
lim,1970-01-01
lindow,2001-11-01
linear,1970-01-01
lionBlaze,2003-12-30
lj,2005-04-23
loconate,1970-01-01
loomin,1970-01-01
lordGrim,2001-07-15
lostt,2005-03-29
low5ive,1992-10-03
luXxoR,2001-07-16
lubby,2001-03-30
luce,1998-04-09
luciuhh,2002-07-12
lucky,1970-01-01
luis,1993-05-16
lukasz,2002-03-21
lukorice,1970-01-01
lumi,1999-02-09
lunatic,2006-09-07
lunr,2003-12-16
lutvara,2000-10-17
lyaneii,1999-09-11
monkey_Moon,2002-11-15
m1k3Rules,1995-02-23
