pagename,birthdate
$$$_Jim_$$$,1970-01-01
$limChang,1970-01-01
$mike,1970-01-01
$wift,1970-01-01
*Zen,1970-01-01
+HOPE+,2000-06-01
007,1970-01-01
0mart,1970-01-01
100_Grand,1970-01-01
10QuidShoes,1970-01-01
2Framez,1970-01-01
2ManyCooks,1995-12-15
2saint,1998-04-12
4%,1990-12-24
404Cray,1970-01-01
42nd,1995-06-22
4tilt,1970-01-01
686M,1970-01-01
6WX,1994-04-30
8BitMan,1970-01-01
8Mitsuki,1970-01-01
9B,1970-01-01
a_Rookie,1970-01-01
aDHD,1993-01-06
aEMehr,1970-01-01
aIR,1970-01-01
aLP,1996-07-07
aLtek,1970-01-01
aNTi,1994-03-11
aRC,1988-07-01
aRMY,1996-03-13
aT_LOWES,1970-01-01
aTATA,1970-01-01
aZ,1970-01-01
aamer,1997-08-11
aaron_(American_player),1998-05-07
aaron_(Dutch_player),1970-01-01
aarvark,1970-01-01
abadango,1993-08-23
abate,1989-03-17
absentPage,1996-08-25
ace,1987-11-20
achilles,1990-01-11
acke,1970-01-01
adachi,1970-01-01
adam,1970-01-01
adenine,1999-10-30
adidi,1970-01-01
admiral,1970-01-01
adom,1992-04-14
advo,1970-01-01
aephage,1994-07-13
aero,1970-01-01
aeroLink,1970-01-01
aether,1970-01-01
afro_Smash,1970-01-01
agito,1970-01-01
aglet,1970-01-01
aidan,1970-01-01
aiken,1970-01-01
aikota,1970-01-01
aion,1970-01-01
aisengobay,1985-06-25
akakikusu,1970-01-01
akashic,1970-01-01
aki,1970-01-01
akke,1988-05-26
aklo,1970-01-01
akuex,1970-01-01
alain,1970-01-01
alan,1970-01-01
alanDiss,1970-01-01
albert,1970-01-01
aleX,2003-06-09
alex19,1970-01-01
ally,1991-02-04
alox,1970-01-01
alpha_Dash,1970-01-01
alphicans,1992-10-23
"alter,_digga",1970-01-01
alukard,1970-01-01
alvin,1987-01-15
american_Bowser,1970-01-01
amida,1970-01-01
amiin,1970-01-01
amsah,1986-12-23
anDy,1970-01-01
anaky,1970-01-01
anathema,1970-01-01
anchovie,1970-01-01
ander,1970-01-01
andresFn,1970-01-01
andrik,1970-01-01
android,1970-01-01
android_0,1970-01-01
andykins,1970-01-01
andymosity,1970-01-01
ang,1970-01-01
angbad,1970-01-01
angel_Cortes,1994-12-04
animal,1970-01-01
aniolas,1970-01-01
anonymous_Moniker,1970-01-01
anragon,1970-01-01
anson_Leung,1970-01-01
antheia,1970-01-01
anther,1970-01-01
anthony,1970-01-01
antireflex,1993-12-06
antvibe8,1995-08-13
aolego,1970-01-01
aperture,1970-01-01
aphro,1970-01-01
apolloKage,1970-01-01
apologyMan,1970-01-01
aposl,1970-01-01
arch,1970-01-01
ares,1970-01-01
arika,1970-01-01
armada,1993-03-28
armades,1970-01-01
armadillo,1970-01-01
armando,1970-01-01
arsenals,1970-01-01
arte,1970-01-01
arty,1970-01-01
asidyx,1970-01-01
askeflink,1970-01-01
asotil,1970-01-01
atelier,1970-01-01
athena,1970-01-01
atlas,1970-01-01
atomsk,1992-01-28
aura,1970-01-01
avengerAngel,1970-01-01
awestin,1970-01-01
axarth,1970-01-01
axe,1991-04-07
axiom_XL,1970-01-01
ayataka,1970-01-01
aza,1970-01-01
azel,1970-01-01
azen,1986-12-20
azrael,1970-01-01
azusa,1970-01-01
azzu,1970-01-01
b33F,1970-01-01
bAM_(Player),1970-01-01
bANG!,1970-01-01
bDE,1970-01-01
bJee,1970-01-01
bONK!,1999-04-01
bT.YAMATO,1970-01-01
bZimm,1970-01-01
ba$$,1970-01-01
bab_Activated,1970-01-01
babich,1970-01-01
baconPancakes,1970-01-01
badnight,1995-03-28
badr,1992-12-29
baku,1970-01-01
bam,1970-01-01
banana_Boy,1970-01-01
bananas,1998-03-30
banano,1970-01-01
bank,1970-01-01
bankai,1970-01-01
banze,1987-04-11
barDulL,1990-08-27
bard,1970-01-01
baron_Brody,1970-01-01
barraca,1970-01-01
bassMage,1970-01-01
battlecow,1970-01-01
baxon,1989-02-16
baz,1970-01-01
bbatts,1970-01-01
beJay,1970-01-01
beLia,1970-01-01
beast,1970-01-01
beat,1993-10-09
beau,1970-01-01
bedgar,1970-01-01
beek,1970-01-01
beerman,1970-01-01
bees,1970-01-01
beji,1970-01-01
ben,1970-01-01
ben_Gold,1970-01-01
benny&TheJets,1970-01-01
berble,1999-04-05
bernie,1970-01-01
berto,1970-01-01
best_Taco,1970-01-01
bico,1970-01-01
biddy,1970-01-01
big_D,1970-01-01
bigBoss,1970-01-01
bigDK,1970-01-01
bigJoig,1970-01-01
bilibo,1970-01-01
bimbo_Mexico,1970-01-01
biscuit,1970-01-01
bitou,1970-01-01
bizzarro_Flame,1970-01-01
black_Yoshi,1970-01-01
blackH4ze,1970-01-01
blacktwins13,1994-10-27
bladewise,1986-08-24
blake_Grey,1970-01-01
blank_(Wii_U_player),2000-01-10
blank_(Project_M_player),1970-01-01
blassy,1995-09-29
blaze,1970-01-01
blazingPasta,1970-01-01
blea_Gelo,1989-12-15
blondekid,1970-01-01
bloodcross,1970-01-01
bloodpeach,1970-01-01
bloom4Eva,1970-01-01
bluB,1970-01-01
bluStriker,1970-01-01
blue,1970-01-01
blue_Jay,1970-01-01
blueFoxXT,1970-01-01
blues_Clues,1970-01-01
bluesky,1970-01-01
blunted_Object10,1990-05-06
bob$,1970-01-01
bob-omb,1970-01-01
boback,1970-01-01
bobby_Frizz,1970-01-01
bobesco,1989-01-20
bobi,1970-01-01
bobo,1970-01-01
boiko,1970-01-01
bokinchan,1970-01-01
bomboni,1970-01-01
bombsoldier,1970-01-01
bones,1970-01-01
bongo,1970-01-01
bonkCushy,1970-01-01
booBear,1997-04-21
boomuki,1970-01-01
boringman,1970-01-01
borp,1970-01-01
bose,1970-01-01
boss,1989-11-01
boulevard,1970-01-01
boyd,1970-01-01
br1_AV,1970-01-01
brTarolg,1970-01-01
brog,1970-01-01
brood,1970-01-01
brosinex,1999-02-14
bryce,2000-08-16
bSeeD,1970-01-01
bubbles_(Brazilian_player),1970-01-01
bubbles_(American_player),1970-01-01
bulby,1970-01-01
bum,1970-01-01
bungwipe,1970-01-01
bushi,1970-01-01
bushihunzi,1970-01-01
bËst,1970-01-01
c,1970-01-01
c._Rabbit,1970-01-01
c.Kaleb,1970-01-01
c.R.Z,1970-01-01
c3PO,1970-01-01
cAUP,1970-01-01
cC,1970-01-01
chen,1970-01-01
cIZ,1970-01-01
cPU0,1970-01-01
cTG,1970-01-01
ca$ino_Wolf,1970-01-01
cabeLo,1991-08-16
cacogen,1970-01-01
cactuar,1987-08-06
cafe,1970-01-01
cagt,1970-01-01
cala,1970-01-01
calle_W,1992-02-12
calvin,1970-01-01
camtwo,1999-05-07
cantus,1970-01-01
capitancito,1970-01-01
captain_Birdman,1970-01-01
captain_Faceroll,1996-05-18
captain_G,1970-01-01
captain_Jack,1985-01-23
captain_L,1970-01-01
captain_Pretzel,1970-01-01
captain_Smuckers,1970-01-01
captain_Tavo,1970-01-01
captainZack,2001-10-26
cashmere,1970-01-01
casper,1970-01-01
cat,1995-02-13
catch_Bendit,1970-01-01
cauthonLuck,1983-11-27
cava,1986-10-25
caveman,1986-02-03
chaddd,1970-01-01
chag,1970-01-01
chango,1970-01-01
chansey,1970-01-01
chanshu,1970-01-01
chaos6,1970-01-01
chape,1970-01-01
charby,1970-01-01
charles,1970-01-01
charliedaking,2000-03-09
charlon,1970-01-01
charon,1970-01-01
chaud,1970-01-01
cheeks,1997-05-12
chef_Rach,1970-01-01
chelly,1994-07-25
chem,1970-01-01
chemX,1994-04-03
chevy,1970-01-01
chia,1988-08-30
chief,1970-01-01
child,1970-01-01
chillindude,1989-08-29
chillyChilli,1970-01-01
chinesah,1970-01-01
chinoMx,1970-01-01
chirou,1970-01-01
choco,1988-10-29
chocoTaco,1970-01-01
chomo,2002-03-18
chrim_Foish,1970-01-01
chris_Best,1970-01-01
chuDat,1987-01-16
churze,1970-01-01
cigotoast,1970-01-01
cillit,1970-01-01
clade,1970-01-01
clemJ,1970-01-01
clemens,1970-01-01
clementine,2003-05-20
cloudburst,1970-01-01
cloudy,1995-09-14
clubbadubba,1970-01-01
clutch,1970-01-01
cob,1970-01-01
cobrevolution,1970-01-01
cody,1970-01-01
coen,1970-01-01
coffeeblack,1970-01-01
coki,1970-01-01
colbol,1993-07-25
comb,1970-01-01
combo_Blaze,1970-01-01
comet,1970-01-01
commander,1996-05-10
commander_Kune,1996-08-13
compact,1970-01-01
coney,1988-09-03
conman,1970-01-01
connor,1994-03-10
connor_(Project_M_player),1970-01-01
cool_Lime,1970-01-01
coolkid,1970-01-01
corazón,1970-01-01
cort,1988-01-14
cosmos,1998-08-31
craftis,1970-01-01
crash,1970-01-01
crogo,1970-01-01
crunch,1970-01-01
crush,1970-01-01
curryGovernor,1970-01-01
cyr,1970-01-01
cyrain,1989-01-26
cyro,2000-11-06
czar,1970-01-01
d.Disciple,1989-01-31
d0se,1970-01-01
d1,1986-03-04
d35,1970-01-01
dD,2002-06-24
dD_(Melee_player),1970-01-01
dG,1970-01-01
dIO,1970-01-01
dJ_Jack,1970-01-01
dJ_Nintendo,1985-05-17
dKbill,1997-05-12
dKwill,1970-01-01
dLos,1970-01-01
dM,1970-01-01
dOGG,1970-01-01
dRN,1970-01-01
dieSuperFly,1984-07-03
dSS,1970-01-01
dTan,1970-01-01
da_Bear,1970-01-01
da-yoshi,1970-01-01
daLung,1970-01-01
daShizWiz,1990-12-07
dabuz,1993-08-07
dacky,1970-01-01
dairDev1L,1970-01-01
daisuki,1970-01-01
dajjal,1970-01-01
dakpo,1970-01-01
damian_Tyson,1970-01-01
damo,1970-01-01
dan_Salvato,1970-01-01
danTheMan,1970-01-01
danadan,1970-01-01
dandy_Penguin,1970-01-01
daniel,1970-01-01
dank,1970-01-01
dankBot,1970-01-01
dannckles,1970-01-01
dannyPhantom,1970-01-01
danubi,1970-01-01
danye,1970-01-01
dapuffster,1992-04-09
darc,1989-08-28
dark,1970-01-01
dark_Wizzy,2000-01-24
darkAura,1970-01-01
darkGenex,1970-01-01
darkShad,1998-10-20
darkThunder,1998-09-29
darkatma,1990-07-23
darkhorse,1986-12-11
darko,1970-01-01
darkrain,1987-08-06
darktooth,1970-01-01
darrell,1970-01-01
dart!,1970-01-01
darth,1970-01-01
darx,1970-01-01
dash,1970-01-01
dath,1992-06-22
datto,1970-01-01
davox,1970-01-01
dawson,1970-01-01
day,1970-01-01
daybreak,2001-05-02
daydee,1993-12-11
deCoste_in_the_Shell,1970-01-01
deLux,1970-01-01
deathgazer,1990-10-31
deci,1970-01-01
deepFreeze,1970-01-01
dekar,1970-01-01
deluxemenu,1970-01-01
den,1970-01-01
denti,1970-01-01
deon,1970-01-01
dero,1970-01-01
destany,1999-09-14
dev,1970-01-01
devastation,1970-01-01
dext3r,1970-01-01
dexter,1970-01-01
diZ,1970-01-01
dia,1970-01-01
diabeo,1970-01-01
diablo,1996-11-30
dill,1970-01-01
dimension,1970-01-01
dimichi,1970-01-01
din,1970-01-01
dinamirer,1970-01-01
dindon_Masqué,1970-01-01
dineAuZor,1970-01-01
dingo,1970-01-01
dingus_Joe,1999-06-10
dirtboy,1970-01-01
dishier_Wand,1997-12-29
djaGoF,1970-01-01
doH,1987-12-16
doYoung2Win,1970-01-01
dobby,1970-01-01
