pagename,birthdate
aBomB,1989-12-27
aGIANTSMURF,1991-08-02
aK,1995-12-18
aLF,1970-01-01
aRT,1970-01-01
aVEX,1994-12-31
abbadon,1970-01-01
abver,1987-12-11
acE,1988-10-17
acRo,1992-06-23
ace_(Chinese_player),1989-11-14
acou,1970-01-01
action,1992-04-23
actionJesuz,1970-01-01
acupuncture,1970-01-01
adelscott,1985-09-23
adios,1995-04-23
adonminus,1995-06-13
adrian,1970-01-01
aegwynn,1970-01-01
aelith,1998-12-03
agh,1970-01-01
aicy,1970-01-01
ailuj,1970-01-01
aires,1970-01-01
akane,1982-09-14
akki,1987-10-27
alaStOr,1970-01-01
albion,1970-01-01
alex007,1992-06-26
alexCMoi,1970-01-01
alicia,1987-08-01
alisoN,1994-08-04
alka,2000-02-09
allHailLulu!,1999-04-30
alluton,1996-12-24
aloha,1970-01-01
alopex,1970-01-01
anNyeong,1987-05-08
andromeda_(Norwegian_player),1970-01-01
anfield,1992-12-26
angry,1970-01-01
antis,1999-12-31
antonyZerg,2003-07-27
aory,1970-01-01
aphrodite,1988-11-04
apocalypse,1970-01-01
apple,1970-01-01
aqueroN,2001-07-16
arT,1997-09-18
archaic,1970-01-01
arctur,1998-11-06
areZ,1970-01-01
ares_(Korean_player),1970-01-01
arew,1991-04-16
argo,1989-09-21
ariA,1970-01-01
aria_(Protoss_player),1996-11-07
aristeo,1988-10-10
aristori,1995-09-17
arium,1999-08-24
arkthelegend,1970-01-01
armani,1996-04-29
armax,1970-01-01
arnovic,1995-11-09
arrogance,1970-01-01
arrogfire,2007-05-24
arthur,1970-01-01
artist,1991-05-25
artosis,1983-04-06
asTeR,1970-01-01
ascarecrow,1970-01-01
ashbringer,1998-06-05
astraea,1985-04-28
astrea,1998-03-08
asuna,1997-04-28
asura,1997-07-20
attero,1988-02-04
auRora,1970-01-01
august,1991-02-19
aureS,1988-02-28
avekatten,1994-10-19
avenge,1995-04-20
avokado,1996-03-14
awers,1994-03-29
axslav,1985-11-12
azure,1995-07-31
azz,1987-01-20
bBi,1984-02-07
bBoongBBoong,1988-08-05
bLord,1993-10-02
baby_(Nam_Hyun_Woo),1970-01-01
babyKnight,1992-06-15
babyMarine,2005-07-01
babyToss,1984-10-09
bails,1996-06-25
ball,1984-03-15
balloon,1995-11-28
banBans,1989-02-18
bang,1970-01-01
barbarossa,1970-01-01
barbie,1989-08-29
barrackS,1991-07-24
basior,1970-01-01
basset,1997-05-15
battleB,2003-01-27
baxteR,1992-06-24
bbyong,1992-09-08
beNSeN,1989-05-26
beSt,1989-10-06
beaSt,1990-02-07
bear,1996-05-04
beastyqt,1990-12-29
bee,1995-07-11
bekzhan,1970-01-01
believe_(Canadian_player),1995-04-20
believe_(Korean_player),1970-01-01
berra,1970-01-01
billowy,1994-08-19
bioice,1970-01-01
biphy,1988-09-29
bisAnG,1993-10-27
bischu,1990-01-18
bistork,1995-02-07
bisu,1989-11-03
bitByBit,1990-09-01
blackKniGhT,1986-05-09
blackcidy,1970-01-01
blask,1970-01-01
blaze,1995-05-03
bleak,1970-01-01
blight,1970-01-01
blinG,1991-11-07
bluE,2000-02-20
bly,1989-01-22
blysk,1995-11-23
bomber,1988-01-16
bombilla,1996-03-19
bones,1994-09-05
boombox,1997-04-17
booster,1970-01-01
botvinnik,1994-09-22
bouli,1970-01-01
bowman,1990-08-17
boxeR,1980-09-04
boyo,1996-10-25
brAvO,1992-09-25
brEEzE,1983-02-18
brain,1970-01-01
brat_OK,1987-01-03
brave,1970-01-01
breach,1990-08-11
breakingGG,1992-09-19
bridge,1990-12-10
brightside,1970-01-01
brown,1991-09-25
bsK,1970-01-01
buRning,1970-01-01
bubbles,1970-01-01
bumblebee_(Danish_player),1990-03-19
bunny_(Danish_player),1992-12-04
bunny_(Korean_player),1995-09-11
buster,1994-03-09
butAlways,1999-09-11
butterflyEffect,1991-01-01
byRada,1992-03-07
byuL,1992-08-07
byuN,1993-05-08
cENSURE,1970-01-01
cNProtoss,1970-01-01
cOSMOS,1985-05-08
cPU,1996-12-28
caVaLieR,1987-05-06
cacia,1993-10-22
cadenZa,1970-01-01
caiobex,1993-10-23
calebAracous,1998-08-26
caliber,1991-05-01
calm,1989-06-13
calt,1970-01-01
capoch,1987-04-13
cargo,1970-01-01
carmel,1993-08-16
catZ,1986-07-04
catechin,1990-10-17
cauthonLuck,1983-11-27
cealeR,1994-11-08
cecilSunkure,1991-12-19
celia,1970-01-01
cell,1970-01-01
cella,1984-08-07
center,1994-03-01
cezanne,1984-09-28
chAnCe,1987-12-23
chabby,1998-08-15
cham,1997-02-19
chanKiM,1996-09-30
chance_(Korean_player),1997-08-05
chappy,1996-02-02
chase,1996-07-13
chavi,1988-01-13
