pagename,birthdate
1988,1988-10-29
815_(Player),1987-10-10
910,1988-02-23
aLFA,1981-10-12
aSuka-Jr,1990-03-19
ace_(Hungarian_player),1991-05-13
action,1992-04-23
advokate,1984-08-04
alfiO,1970-01-01
alone,1992-04-15
ample,1992-07-16
ana,1970-01-01
androide,1985-04-07
anytime,1986-10-18
arcneon,1987-03-07
arew,1991-04-16
artosis,1983-04-06
asmodey,1982-05-19
assem,1984-08-11
autumn,1980-01-29
avi-Love,1970-01-01
bRAT_OK,1987-01-03
baBy,1994-09-18
baNulDoDuk,1970-01-01
backHo,1989-05-09
bakuryu,1990-01-16
bale,1970-01-01
bandy,1970-01-01
barrackS,1991-07-24
bassy,1983-10-30
bbyong,1992-09-08
beSt,1989-10-06
bibiane,1970-01-01
bishOp,1995-03-16
bisu,1989-11-03
bizzy,1970-01-01
blackman,1986-05-05
boA,1993-10-25
bogus,1993-07-25
bohye,1997-03-20
bong(S.G),1994-03-19
bonyth,1991-04-28
bora,1970-01-01
boxeR,1980-09-04
brEaKdOwN,1986-01-01
brave,1991-08-24
britney,1991-08-14
bruce,1985-01-18
bubble,1990-07-28
bunkie,1998-04-13
by.1st,1990-01-19
bylat,1990-05-12
byuL_(zerg),1992-08-07
byuL,1993-05-01
byun,1980-10-27
byungSoo,1994-01-27
cCoMa,1985-06-28
cadenZie,1970-01-01
calm,1989-06-13
canata,1987-06-25
candy,1970-01-01
casper,1989-07-11
casterMuse,1992-12-06
castrO,1970-01-01
casy,1986-09-25
chRh,1981-09-15
chaeLyn,1993-07-30
chalrenge,1987-06-11
chavi,1988-01-13
chestnut,1970-01-01
child,1985-07-30
chill,1984-11-15
choJJa,1984-12-13
choosy,1970-01-01
christian,1985-12-25
classic,1991-11-27
clide,1987-11-04
clon,1984-10-16
clouD_(Cha_Jae_Wook),1985-01-01
clouD_(Amateur),1987-05-31
cola,1994-02-12
comBi,1981-01-01
control,1983-09-08
cool,1985-07-27
cope,1986-05-16
crazy-Hydra,1990-12-09
crow,1985-03-03
cryoc,1970-01-01
czar,1970-01-01
dIMAGA,1986-06-03
daZe,1970-01-01
daaman,1983-11-22
daezanG,1983-10-02
dandy,1991-12-07
darK,1995-01-01
darin,1970-01-01
darkElf,1987-01-18
dark_Caleb,1986-07-27
darlinG,1987-07-08
day(9),1986-06-27
deSka,1970-01-01
dear,1970-01-01
defi,1990-05-22
destroyer,1982-11-13
devil,1989-02-19
dewalt,1994-08-18
dinOt,1992-06-23
djem5,1970-01-01
doGGi,1984-01-03
doctor.K,1985-02-13
dongrae,1986-10-26
dove,1988-11-12
draco,1987-12-02
dragOn,1970-01-01
dream.t)check,1993-01-05
dreamer,1989-05-22
dreiven,1987-06-14
eLIZA,1985-12-27
effOrt,1991-01-30
elegant,1991-01-21
elkY,1981-02-08
enfury,1970-01-01
enough,1981-10-27
eriador,1984-05-06
eugene,1981-01-24
ex,1986-06-01
f91,1983-02-17
fancy,1988-01-16
fantasy_(Player),1991-07-01
favorit,1970-01-01
feel_LOVE,1970-01-01
fengzi,1984-12-15
fenix,1992-06-03
fiSheYe,1984-10-17
fireFist,1987-02-10
flaf,1990-08-30
flash,1992-07-05
flower,1988-02-26
flying,1990-07-15
fosken,1989-08-28
frOzen,1988-11-29
freedom,1988-04-26
freemura,1980-03-22
froZ,1985-08-14
g5,1987-11-01
gARIMTO,1981-03-01
gGMAN,1979-10-06
gGPlay,1985-12-05
gGon,1982-09-04
gOsia,1988-10-28
gadianton,1970-01-01
ganZi,1987-12-30
gargoyle,1970-01-01
기나,1970-01-01
goOdy,1985-10-27
goRush,1984-12-24
goTunk,1970-01-01
gohaN,1970-01-01
goodfriend,1986-11-20
gosI(Terran),1993-05-20
gosudark,1988-10-06
grape,1993-06-26
grrrr...,1982-06-19
guemChi,1989-11-08
h.O.T-Forever,1981-11-23
hawk,1993-12-23
hayprO,1983-06-19
hellghost,1984-11-06
heme,1986-12-15
herO(Shield),1990-06-06
hexer,1970-01-01
hint,1994-01-06
hiyA,1989-07-21
hoGiL,1991-04-02
hoRRoR,1970-01-01
hoeJJa,1989-09-05
horang2,1992-01-15
hwangSin,1992-08-01
hwasin,1988-04-05
hydra,1991-09-04
hyuN,1988-01-15
hyuk,1987-04-11
i.Love_Star,1970-01-01
icaruS_(Player),1990-03-11
idegel,1970-01-01
idrA,1989-08-21
iefNaij,1991-04-19
infinity,1984-05-30
iNNA,1970-01-01
intoTheRain,1979-12-08
irOn,1991-06-17
iris,1987-02-05
isaac,1983-02-03
jJu,1983-02-23
jaedong,1990-01-09
jaehoon,1989-09-21
jaeyun,1990-09-27
jangBi,1989-05-03
january,1978-10-29
jayStar,1970-01-01
jiHyun,1986-09-15
jinNam,1981-05-15
jinSu,1981-05-15
jiren,1990-02-28
johnRambo,1984-10-03
joyO,1982-04-12
julia,1970-01-01
july,1986-12-18
jumper,1988-09-05
juni,1989-11-06
junioR,1984-11-15
junitoss,1985-07-29
junwi,1970-01-01
justin,1987-08-22
jy,1988-09-09
jyJ,1993-01-24
kIMDONGWOO,1982-05-10
kIMWANCHUL,1981-07-04
kaaZ,1988-10-25
kaban1,1982-05-03
kal,1990-10-18
kameZerg,1970-01-01
karate,1970-01-01
kashu,1970-01-01
kazio,1987-06-28
kenZy,1991-01-02
khan,1970-01-01
kiLLeR,1989-12-16
kill,1970-01-01
killer,1992-06-24
kingdom,1983-12-06
kiss,1982-01-09
kolll,1995-02-04
kr,1970-01-01
kwanro,1990-02-21
lYH,1970-01-01
laAbuela,1993-09-24
laKe(Name),1986-06-18
lamer,1988-01-25
lamozerg,1992-10-02
lancerx,1970-01-01
largo,1987-04-19
larva_(Player),1994-07-19
last,1992-12-25
lazy,1993-05-11
lee,1982-06-11
lee_Hyun_Kyung,1989-11-13
legionnaire,1981-05-24
leiChe,1987-07-05
leta,1989-11-21
light,1990-03-28
loWeLy,1986-10-02
lomo,1990-02-11
louder,1981-02-18
loveTT,1984-09-07
loveTV,1970-01-01
luCifer,1988-10-04
luxury,1987-12-07
lx,1984-09-07
lzGaMeR,1985-09-12
m18M,1990-05-27
mIsO,1992-12-08
maNa,1993-12-14
machine,1988-01-31
madiNho,1989-04-14
maeJang,1970-01-01
major,1989-12-30
mamon,1970-01-01
marine_(Jung_Yoo_Seok),1970-01-01
marwin,1987-07-28
max,1986-06-26
maynard,1980-10-14
mazur,1970-01-01
memory,1989-01-01
methos,1985-09-30
miStrZZZ,1987-06-23
michael,1991-05-04
midas,1987-02-21
midian,1984-09-08
mighty,1995-08-28
mihu,1970-01-01
minHo,1995-02-28
minam,1991-03-19
mind,1991-10-03
minus)Eagle,1993-01-29
mireille,1970-01-01
models,1990-01-24
modesty,1992-02-10
moletrap,1970-01-01
mondragon,1986-12-12
mong,1992-05-17
morroW,1992-08-11
motive,1993-07-12
movie,1990-08-30
muMyung,1984-11-01
much,1984-01-13
mvp,1991-02-12
nTT,1982-06-01
naDa,1984-11-20
nabi,1970-01-01
nal_rA,1982-03-15
napoleon,1970-01-01
narutO,1988-06-13
naugrim,1990-05-27
nazgul,1983-05-03
niza,1985-02-28
nizzy,1970-01-01
nonY,1986-03-15
notice,1990-08-10
nyoken,1970-01-01
octZerg,1985-10-15
october,1970-01-01
oddysay,1981-06-28
ogogo,1984-10-07
oliPatrick,1987-03-16
olympus,1990-01-25
oriOn_(Player),1988-06-20
oversKy,1984-02-24
oyA,1996-10-06
p7GAB,1992-07-11
paralyze,1992-10-15
parfume,1970-01-01
perfectMan,1991-03-18
perfective,1992-03-26
perry,1992-02-20
pianO,1988-01-29
pike,1970-01-01
pillars,1981-06-09
pj,1987-10-10
plumbum,1988-12-15
pokJu,1987-06-18
pomi,1986-01-15
pro7ect,1970-01-01
ptak,1984-10-31
puMa,1991-07-23
pure,1990-01-20
