pagename,birthdate
1mpacT,1988-03-18
2964,1970-01-01
3BEPb,1984-09-19
3gpaBkO,1990-02-19
420,1982-09-21
4u,1970-01-01
aCam,1970-01-01
aM6AJI,1989-02-01
aNGRY_KOREA_MAN,1970-01-01
abver,1987-12-11
acRo,1992-06-23
aca,1990-08-03
accCreate,1996-10-11
ace,1989-11-14
achtung,1989-12-18
acidRain,1992-03-01
ack1Y,1991-10-08
advokate,1984-08-04
aether,1987-09-17
afterShoCK,1970-01-01
agatha,1990-08-06
ajk,1970-01-01
akkiS,1970-01-01
alMoSt,1970-01-01
aleX,1989-12-09
alice,1994-10-29
all1gatoR,1982-12-01
ally,2004-11-26
alone,1987-12-04
amater,1970-01-01
anas,1970-01-01
angeline,1970-01-01
anima,1970-01-01
ankhes,1970-01-01
anxi,1992-08-19
anyppi,1970-01-01
appCompat,1970-01-01
arch,1970-01-01
arius,1988-12-29
ark,1990-04-01
arma,1990-03-15
arminvB,1990-04-20
armor_(Russian_player),1970-01-01
aserinox,1970-01-01
asmodey,1982-05-19
assasin,1970-01-01
atOm,1970-01-01
atoM,1986-08-20
attackYouHeart,1970-01-01
autumnSky,1970-01-01
axslav,1985-11-12
bBoGul,1970-01-01
bOB,1970-01-01
backhoe,1970-01-01
bam,1989-10-12
bany,1970-01-01
basH,1989-04-19
beNSeN,1989-05-26
beckS,1989-02-07
believe,1990-08-20
believe_(Canadian_player),1970-01-01
berzerker,1970-01-01
bestWolf,1970-01-01
biGeR,1970-01-01
bianconero,1987-08-15
bidoux,1993-05-02
bigMan,1982-06-24
bike,1970-01-01
birD,1970-01-01
bisu,1970-01-01
bizzare,1970-01-01
bjarke,1984-09-29
blOoDy,1970-01-01
blade,1990-09-22
blaiZ,1970-01-01
blast,1970-01-01
blatty,1982-06-22
bluetale,1970-01-01
bly,1989-01-22
boB_IsNice,1970-01-01
boNd,1982-07-29
boO,1970-01-01
boka,1970-01-01
bonecracker,1986-05-13
bounD,1990-08-18
briNGeR,1992-03-27
brok,1988-05-27
bsK,1970-01-01
buRnY,1970-01-01
buchTa,1970-01-01
buzzLich,1970-01-01
cR,1970-01-01
cXQ,1988-02-20
caMeliriS,1970-01-01
caSpeND,1990-12-07
caf1,1970-01-01
calypso,1989-12-30
canucK,1989-02-14
capetown,1970-01-01
capoch,1987-04-13
captain,1970-01-01
careFly,1985-10-22
cash,1990-01-11
casiN,1970-01-01
casper,1987-12-27
cechi,1970-01-01
cecraft,1970-01-01
cement,1970-01-01
ceron,1988-11-29
chaemiko,1994-06-09
changer,1994-07-17
chanji,1991-05-06
check,1984-02-14
cheerOn,1987-06-27
chemi,1970-01-01
cherep,1970-01-01
chick,1970-01-01
chinaHuman,1970-01-01
chobO,1970-01-01
chobo_(Korean_player),1970-01-01
chriS,1992-04-23
ciara,1986-12-06
cincrea,1970-01-01
clown,1970-01-01
cocafly,1970-01-01
coldDream,1988-07-29
colorful,1994-09-12
commander,1970-01-01
commando07,1970-01-01
coolXian,1988-09-11
coopeR,1992-05-20
corNoX,1989-08-26
corugnoll,1987-02-24
counting1,1970-01-01
crAzY_MiCrO,1970-01-01
craftY,1985-08-27
cranKy_SnaiL,1989-10-01
creepbom,1970-01-01
creolophus,1986-07-11
crimson,1970-01-01
crowjam,1994-03-22
crrpt,1986-04-09
crunCher,1991-12-09
crusader,1970-01-01
cuiYi,1970-01-01
curiocity,1970-01-01
